# List of international goals scored by Claudio Caniggia
No.,Date,Venue,Opponent,Score,Result,Competition,Ref.
1,2 July 1987,"Estadio Monumental, Buenos Aires, Argentina",Ecuador,1–0,3–0,1987 Copa América,
2,11 July 1987,"Estadio Monumental, Buenos Aires, Argentina",Colombia,1–2,1–2,1987 Copa América,
3,12 October 1988,"Ramón Sánchez-Pizjuán Stadium, Seville, Spain",Spain,1–1,1–1,Friendly,
4,2 July 1989,"Estádio Serra Dourada, Goiânia, Brazil",Chile,1–0,1–0,1989 Copa América,
5,8 July 1989,"Estádio Serra Dourada, Goiânia, Brazil",Uruguay,1–0,1–0,1989 Copa América,
6,22 May 1990,"Ramat Gan Stadium, Ramat Gan, Israel",Israel,2–1,2–1,Friendly,
7,24 June 1990,"Stadio Delle Alpi, Turin, Italy",Brazil,1–0,1–0,1990 FIFA World Cup,
8,3 July 1990,"Stadio San Paolo, Naples, Italy",Italy,1–1,1–1,1990 FIFA World Cup,
9,8 July 1991,"Estadio Nacional, Santiago, Chile",Venezuela,2–0,3–0,1991 Copa América,
10,12 July 1991,"Estadio Ester Roa, Concepción, Chile",Paraguay,4–1,4–1,1991 Copa América,
11,20 October 1992,"King Fahd International Stadium, Riyadh, Saudi Arabia",Saudi Arabia,2–0,3–1,1992 King Fahd Cup,
12,24 February 1993,"Estadio José María Minella, Mar del Plata, Argentina",Denmark,1–1,1–1,1993 Artemio Franchi Cup,
13,31 May 1994,"Ramat Gan Stadium, Ramat Gan, Israel",Israel,3–0,3–0,Friendly,
14,25 June 1994,"Foxboro Stadium, Foxborough, United States",Nigeria,1–1,2–1,1994 FIFA World Cup,
15,25 June 1994,"Foxboro Stadium, Foxborough, United States",Nigeria,2–1,2–1,1994 FIFA World Cup,
