# List of international goals scored by Jean-Pierre Papin
No.,Date,Venue,Opponent,Score,Result,Competition
1,1 June 1986,"Estadio León, León, Mexico",Canada,1–0,1–0,1986 FIFA World Cup
2,28 June 1986,"Estadio Cuauhtémoc, Puebla, Mexico",Belgium,2–1,4–2 (a.e.t.),1986 FIFA World Cup
3,28 September 1988,"Parc des Princes, Paris, France",Norway,1–0,1–0,1990 FIFA World Cup qualification
4,16 August 1989,"Malmö Stadion, Malmö, Sweden",Sweden,2–1,4–2,Friendly
5,16 August 1989,"Malmö Stadion, Malmö, Sweden",Sweden,3–2,4–2,Friendly
6,5 September 1989,"Ullevaal Stadion, Oslo, Norway",Norway,1–0,1–1,1990 FIFA World Cup qualification
7,28 February 1990,"Stade de la Mosson, Montpellier, France",West Germany,1–1,2–1,Friendly
8,5 September 1990,"Laugardalsvöllur, Reykjavík, Iceland",Iceland,1–0,2–1,UEFA Euro 1992 qualifying
9,13 October 1990,"Parc des Princes, Paris, France",Czechoslovakia,1–0,2–1,UEFA Euro 1992 qualifying
10,13 October 1990,"Parc des Princes, Paris, France",Czechoslovakia,2–0,2–1,UEFA Euro 1992 qualifying
11,20 February 1991,"Parc des Princes, Paris, France",Spain,2–1,3–1,UEFA Euro 1992 qualifying
12,30 March 1991,"Parc des Princes, Paris, France",Albania,3–0,5–0,UEFA Euro 1992 qualifying
12,30 March 1991,"Parc des Princes, Paris, France",Albania,4–0,5–0,UEFA Euro 1992 qualifying
14,14 August 1991,"Stadion Miejski, Poznań, Poland",Poland,2–1,5–1,Friendly
15,4 September 1991,"Tehelné Pole Stadium, Bratislava, Czechoslovakia",Czechoslovakia,1–1,2–1,UEFA Euro 1992 qualifying
16,4 September 1991,"Tehelné Pole Stadium, Bratislava, Czechoslovakia",Czechoslovakia,2–1,2–1,UEFA Euro 1992 qualifying
17,12 October 1991,"Estadio Benito Villamarín, Seville, Spain",Spain,2–0,2–1,UEFA Euro 1992 qualifying
18,25 March 1992,"Parc des Princes, Paris, France",Belgium,1–1,3–3,Friendly
19,25 March 1992,"Parc des Princes, Paris, France",Belgium,3–3,3–3,Friendly
20,5 June 1992,"Stade Félix Bollaert, Lens, France",Netherlands,1–0,1–1,Friendly
21,10 June 1992,"Råsunda Stadium, Solna, Sweden",Sweden,1–1,1–1,UEFA Euro 1992
22,17 June 1992,"Malmö Stadion, Malmö, Sweden",Denmark,1–1,1–2,UEFA Euro 1992
23,14 October 1992,"Parc des Princes, Paris, France",Austria,1–0,2–0,1994 FIFA World Cup qualification
24,14 November 1992,"Parc des Princes, Paris, France",Finland,1–0,2–1,1994 FIFA World Cup qualification
25,27 March 1993,"Ernst-Happel-Stadion, Vienna, Austria",Austria,1–0,1–0,1994 FIFA World Cup qualification
26,28 July 1993,"Stade Michel d'Ornano, Caen, France",Russia,3–1,3–1,Friendly
27,8 September 1993,"Ratina Stadion, Tampere, Estland",Finland,2–0,2–0,1994 FIFA World Cup qualification
28,22 March 1994,"Stade de Gerland, Lyon, France",Chile,1–0,3–1,Friendly
29,29 May 1994,"National Stadium, Tokyo, Japan",Japan,2–0,4–1,1994 Kirin Cup
30,13 December 1994,"Hüseyin Avni Aker Stadium, Trabzon, Turkey",Azerbaijan,1–0,2–0,UEFA Euro 1996 qualifying
