# Appearances and goals by club, season, and competition
Club,Season,League Division,League Apps,League Goals,National Cup Apps,National Cup Goals,League Cup Apps,League Cup Goals,Europe Apps,Europe Goals,Other Apps,Other Goals,Total Apps,Total Goals
Cobh Ramblers,1989–90,LOI First Division,23,1,3,1,3,0,—,—,—,—,29,2
Nottingham Forest,1990–91,First Division,35,8,10,2,4,1,—,—,0,0,49,11
Nottingham Forest,1991–92,First Division,39,8,4,0,8,4,—,—,5,2,56,14
Nottingham Forest,1992–93,Premier League,40,6,4,1,5,1,—,—,—,—,49,8
Nottingham Forest,Total,Total,114,22,18,3,17,6,—,—,5,2,154,33
Manchester United,1993–94,Premier League,37,5,6,1,7,0,3,2,1,0,54,8
Manchester United,1994–95,Premier League,25,2,7,0,1,0,4,1,0,0,37,3
Manchester United,1995–96,Premier League,29,6,7,0,1,0,2,0,—,—,39,6
Manchester United,1996–97,Premier League,21,2,3,0,2,0,6,0,1,1,33,3
Manchester United,1997–98,Premier League,9,2,0,0,0,0,1,0,1,0,11,2
Manchester United,1998–99,Premier League,35,2,7,0,0,0,12,3,1,0,55,5
Manchester United,1999–2000,Premier League,29,5,—,—,0,0,12,6,4,1,45,12
Manchester United,2000–01,Premier League,28,2,2,0,0,0,13,1,1,0,44,3
Manchester United,2001–02,Premier League,28,3,2,0,0,0,12,1,1,0,43,4
Manchester United,2002–03,Premier League,21,0,3,0,2,0,6,0,—,—,32,0
Manchester United,2003–04,Premier League,28,3,5,0,0,0,4,0,1,0,38,3
Manchester United,2004–05,Premier League,31,1,4,1,1,0,6,0,1,0,43,2
Manchester United,2005–06,Premier League,5,0,—,—,0,0,1,0,—,—,6,0
Manchester United,Total,Total,326,33,46,2,14,0,82,14,12,2,480,51
Celtic,2005–06,Scottish Premier League,10,1,1,0,2,0,—,—,—,—,13,1
Career total,Career total,Career total,473,57,68,6,36,6,82,14,17,4,676,87
