# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,State league Apps,State league Goals,National cup Apps,National cup Goals,League cup Apps,League cup Goals,Continental Apps,Continental Goals,Other Apps,Other Goals,Total Apps,Total Goals
São Paulo,2010,Série A,18,2,0,0,—,—,—,—,0,0,—,—,18,2
São Paulo,2011,Série A,21,4,12,1,5,1,—,—,2,0,—,—,40,6
São Paulo,2012,Série A,22,0,18,2,9,1,—,—,1,0,—,—,50,3
São Paulo,2013,Série A,—,—,1,0,—,—,—,—,2,0,—,—,3,0
São Paulo,Total,Total,61,6,31,3,14,2,—,—,5,0,—,—,111,11
Real Madrid Castilla (loan),2012–13,Segunda División,15,1,—,—,—,—,—,—,—,—,—,—,15,1
Real Madrid (loan),2012–13,La Liga,1,0,—,—,0,0,—,—,0,0,—,—,1,0
Real Madrid,2013–14,La Liga,12,0,—,—,7,0,—,—,6,0,—,—,25,0
Real Madrid,2015–16,La Liga,23,1,—,—,1,0,—,—,11,0,—,—,35,1
Real Madrid,2016–17,La Liga,25,4,—,—,5,0,—,—,9,2,3,0,42,6
Real Madrid,2017–18,La Liga,30,5,—,—,1,0,—,—,12,1,5,1,48,7
Real Madrid,2018–19,La Liga,29,3,—,—,5,0,—,—,6,1,3,0,43,4
Real Madrid,2019–20,La Liga,35,4,—,—,1,0,—,—,8,1,2,0,46,5
Real Madrid,2020–21,La Liga,34,6,—,—,1,0,—,—,10,1,1,0,46,7
Real Madrid,2021–22,La Liga,32,1,—,—,3,0,—,—,11,0,2,0,48,1
Real Madrid,2022–23,La Liga,1,0,—,—,—,—,—,—,—,—,1,0,2,0
Real Madrid,Total,Total,222,24,—,—,24,0,—,—,73,6,17,1,336,31
Porto (loan),2014–15,Primeira Liga,28,3,—,—,1,0,2,0,10,1,—,—,41,4
Manchester United,2022–23,Premier League,28,4,—,—,5,2,6,1,12,0,—,—,51,7
Manchester United,2023–24,Premier League,25,1,—,—,3,1,2,1,2,2,—,—,32,5
Manchester United,2024–25,Premier League,24,1,—,—,2,0,2,2,13,2,1,0,42,5
Manchester United,2025–26,Premier League,5,1,—,—,0,0,0,0,—,—,0,0,5,1
Manchester United,Total,Total,82,7,—,—,10,3,10,4,27,4,1,0,130,18
Career total,Career total,Career total,408,41,31,3,49,5,12,4,115,11,18,1,633,65
