# Appearances and goals by national team and year
National team,Year,Apps,Goals
West Germany,Friendlies – 1966,1,0
West Germany,Friendlies – 1967,1,1
West Germany,UEFA Euro 1968 qual.,3,6
West Germany,Friendlies – 1968,1,0
West Germany,1970 FIFA World Cup qual.,6,9
West Germany,Friendlies – 1969,3,2
West Germany,Friendlies – 1970,5,2
West Germany,1970 FIFA World Cup,6,10
West Germany,Friendlies – 1971,4,7
West Germany,UEFA Euro 1972 qual.,7,6
West Germany,Friendlies – 1972,3,8
West Germany,UEFA Euro 1972,2,4
West Germany,Friendlies – 1973,8,7
West Germany,Friendlies – 1974,5,2
West Germany,1974 FIFA World Cup,7,4
Total,Total,62,68
