# List of international goals scored by David Trezeguet
No.,Date,Venue,Opponent,Score,Result,Competition
1,5 June 1998,"Helsinki Olympic Stadium, Helsinki, Finland",Finland,1–0,1–0,Friendly
2,18 June 1998,"Stade de France, Saint-Denis, France",Saudi Arabia,2–0,4–0,1998 FIFA World Cup
3,9 October 1999,"Stade de France, Saint-Denis, France",Iceland,3–2,3–2,UEFA Euro 2000 qualifying
4,26 April 2000,"Stade de France, Saint-Denis, France",Slovenia,1–2,3–2,Friendly
5,26 April 2000,"Stade de France, Saint-Denis, France",Slovenia,3–2,3–2,Friendly
6,28 May 2000,"Stadion Maksimir, Zagreb, Croatia",Croatia,2–0,2–0,Friendly
7,21 June 2000,"Amsterdam Arena, Amsterdam, Netherlands",Netherlands,2–1,2–3,UEFA Euro 2000
8,2 July 2000,"De Kuip, Rotterdam, Netherlands",Italy,2–1,2–1,UEFA Euro 2000
9,16 August 2000,"Stade Vélodrome, Marseille, France",FIFA XI,1–0,5–1,Friendly
10,16 August 2000,"Stade Vélodrome, Marseille, France",FIFA XI,2–0,5–1,Friendly
11,16 August 2000,"Stade Vélodrome, Marseille, France",FIFA XI,3–0,5–1,Friendly
12,15 November 2000,"BJK İnönü Stadium, Istanbul, Turkey",Turkey,1–0,4–0,Friendly
13,24 March 2001,"Stade de France, Saint-Denis, France",Japan,4–0,5–0,Friendly
14,24 March 2001,"Stade de France, Saint-Denis, France",Japan,5–0,5–0,Friendly
15,28 March 2001,"Mestalla Stadium, Valencia, Spain",Spain,1–2,1–2,Friendly
16,1 September 2001,"Estadio Nacional, Santiago, Chile",Chile,1–2,1–2,Friendly
17,11 November 2001,"Cricket Ground, Melbourne, Australia",Australia,1–1,1–1,Friendly
18,27 March 2002,"Stade de France, Saint-Denis, France",Scotland,2–0,5–0,Friendly
19,27 March 2002,"Stade de France, Saint-Denis, France",Scotland,4–0,5–0,Friendly
20,26 May 2002,"World Cup Stadium, Suwon, South Korea",South Korea,1–0,3–2,Friendly
21,29 March 2003,"Stade Félix-Bollaert, Lens, France",Malta,5–0,6–0,UEFA Euro 2004 qualifying
22,2 April 2003,"Stadio Renzo Barbera, Palermo, Italy",Israel,1–1,2–1,UEFA Euro 2004 qualifying
23,6 September 2003,"Stade de France, Saint-Denis, France",Cyprus,1–0,5–0,UEFA Euro 2004 qualifying
24,6 September 2003,"Stade de France, Saint-Denis, France",Cyprus,5–0,5–0,UEFA Euro 2004 qualifying
25,10 September 2003,"Bežigrad Stadium, Ljubljana, Slovenia",Slovenia,1–0,2–0,UEFA Euro 2004 qualifying
26,11 October 2003,"Stade de France, Saint-Denis, France",Israel,2–0,3–0,UEFA Euro 2004 qualifying
27,15 November 2003,"Arena AufSchalke, Gelsenkirchen, Germany",Germany,2–0,3–0,Friendly
28,15 November 2003,"Arena AufSchalke, Gelsenkirchen, Germany",Germany,3–0,3–0,Friendly
29,17 June 2004,"Estádio Dr. Magalhães Pessoa, Leiria, Portugal",Croatia,2–2,2–2,UEFA Euro 2004
30,9 February 2005,"Stade de France, Saint-Denis, France",Sweden,1–1,1–1,Friendly
31,30 March 2005,"Ramat Gan Stadium, Ramat Gan, Israel",Israel,1–0,1–1,2006 FIFA World Cup qualification
32,7 June 2006,"Stade Geoffroy-Guichard, Saint-Étienne, France",China,1–0,3–1,Friendly
33,11 October 2006,"Stade Auguste Bonal, Montbéliard, France",Faroe Islands,4–0,5–0,UEFA Euro 2008 qualifying
34,11 October 2006,"Stade Auguste Bonal, Montbéliard, France",Faroe Islands,5–0,5–0,UEFA Euro 2008 qualifying
