# List of international goals scored by Stanley Matthews
No.,Date,Venue,Opponent,Score,Result,Competition
1,29 September 1934,"Ninian Park, Cardiff, Wales",Wales,,4–0,1934–35 British Home Championship
2,17 November 1937,"Ayresome Park, Middlesbrough, England",Wales,,2–1,1937–38 British Home Championship
3,1 December 1937,"White Hart Lane, London, England",Czechoslovakia,,5–4,Friendly
4,1 December 1937,"White Hart Lane, London, England",Czechoslovakia,,5–4,Friendly
5,1 December 1937,"White Hart Lane, London, England",Czechoslovakia,,5–4,Friendly
6,14 May 1938,"Olympiastadion, Berlin, Germany",Germany,,6–3,Friendly
7,22 October 1938,"Ninian Park, Cardiff, Wales",Wales,,2–4,1938–39 British Home Championship
8,18 November 1938,"Old Trafford, Manchester, England",Ireland,,7–0,1938–39 British Home Championship
9,25 May 1947,"Estádio Nacional, Lisbon, Portugal",Portugal,,10–0,Friendly
10,9 October 1948,"Windsor Park, Belfast, Northern Ireland",Ireland,,6–2,1948–49 British Home Championship
11,6 October 1956,"Windsor Park, Belfast, Northern Ireland",Northern Ireland,,1–1,1956–57 British Home Championship
