# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,FA Cup Apps,FA Cup Goals,League Cup Apps,League Cup Goals,Europe Apps,Europe Goals,Total Apps,Total Goals
Leeds United,1959–60,First Division,11,2,1,0,2,1,0,0,14,3
Leeds United,1960–61,Second Division,31,9,1,0,2,1,0,0,34,10
Leeds United,1961–62,Second Division,39,11,2,0,4,1,0,0,45,12
Leeds United,1962–63,Second Division,24,10,0,0,0,0,0,0,24,10
Leeds United,1963–64,Second Division,39,3,3,1,1,0,0,0,43,4
Leeds United,1964–65,First Division,40,6,8,1,1,0,0,0,49,7
Leeds United,1965–66,First Division,41,8,2,0,0,0,11,2,54,10
Leeds United,1966–67,First Division,37,2,6,0,4,0,10,1,57,3
Leeds United,1967–68,First Division,36,2,5,0,6,1,10,0,57,3
Leeds United,1968–69,First Division,42,6,2,0,2,1,8,1,54,8
Leeds United,1969–70,First Division,35,4,9,1,2,0,8,3,54,8
Leeds United,1970–71,First Division,26,3,2,0,1,0,10,3,39,6
Leeds United,1971–72,First Division,41,5,7,0,4,0,1,0,53,5
Leeds United,1972–73,First Division,38,4,7,1,5,0,7,0,57,5
Leeds United,1973–74,First Division,42,10,5,1,1,0,4,0,52,11
Leeds United,1974–75,First Division,27,1,8,0,2,0,6,3,43,4
Leeds United,1975–76,First Division,34,5,2,0,2,0,0,0,38,5
Leeds United,1976–77,First Division,4,0,2,0,0,0,0,0,6,0
Leeds United,Total,Total,587,91,72,5,39,5,75,13,773,114
Hull City,1976–77,Second Division,30,2,2,0,0,0,0,0,32,2
Hull City,1977–78,Second Division,31,4,1,0,4,1,0,0,36,5
Hull City,Total,Total,61,6,3,0,4,1,0,0,68,7
Doncaster Rovers,1978–79,Fourth Division,0,0,0,0,0,0,0,0,0,0
Doncaster Rovers,1979–80,Fourth Division,1,0,0,0,0,0,0,0,1,0
Doncaster Rovers,1980–81,Fourth Division,3,0,0,0,0,0,0,0,3,0
Doncaster Rovers,1981–82,Third Division,1,0,0,0,0,0,0,0,1,0
Doncaster Rovers,Total,Total,5,0,0,0,0,0,0,0,5,0
Career total,Career total,Career total,653,97,75,5,44,6,75,13,814,121
