# Appearances and goals by club, season and competition
Club,Season,League Apps,League Goals,National Cup Apps,National Cup Goals,Europe Apps,Europe Goals,Total Apps,Total Goals
Panionios,1976–77,32,11,?,?,–,–,32+,11+
Panionios,1977–78,27,3,?,?,–,–,27+,3+
Panionios,1978–79,28,4,?,?,–,–,28+,4+
Panionios,1979–80,30,7,?,?,4,3,34+,10+
Panionios,Total,117,25,?,?,4,3,121+,28+
Olympiacos,1980–81,20,4,?,?,–,–,20+,4+
Olympiacos,1981–82,33,14,?,?,2,1,35+,15+
Olympiacos,1982–83,31,29,?,?,4,1,35+,30+
Olympiacos,1983–84,30,18,?,?,4,3,34+,21+
Olympiacos,1984–85,28,15,?,?,4,2,32+,17+
Olympiacos,1985–86,24,19,?,?,–,–,24+,19+
Olympiacos,1986–87,21,16,?,?,4,3,25+,19+
Olympiacos,Total,187,115,?,?,18,10,205+,125+
Avellino,1987–88,16,0,?,?,–,–,16+,0+
Panionios,1988–89,11,5,?,?,–,–,11+,5+
Olympiacos,1989–90,22,7,?,?,6,2,28+,9+
Olympiacos,1990–91,26,17,?,?,4,2,30+,19+
Olympiacos,1991–92,24,6,?,?,–,–,24+,6+
Olympiacos,Total,72,30,?,?,10,4,82+,34+
Ionikos,1992–93,19,7,?,?,–,–,19+,7+
Olympiacos,1993–94,3,0,?,?,1,0,4+,0+
Career total,Career total,425,182,?,?,33,17,458+,199+
