# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,Hungarian Cup Apps,Hungarian Cup Goals,Europe Apps,Europe Goals,Total Apps,Total Goals
Ferencváros,1958–59,National Championship I,15,6,0,0,0,0,15,6
Ferencváros,1959–60,National Championship I,26,27,0,0,0,0,26,27
Ferencváros,1960–61,National Championship I,26,21,0,0,3,2,29,23
Ferencváros,1961–62,National Championship I,22,17,0,0,0,0,22,17
Ferencváros,1962–63,National Championship I,21,11,0,0,6,3,27,14
Ferencváros,1963,National Championship I,12,11,0,0,2,2,14,13
Ferencváros,1964,National Championship I,16,19,2,5,5,3,23,27
Ferencváros,1965,National Championship I,24,27,0,0,9,1,33,28
Ferencváros,1966,National Championship I,25,24,6,7,0,0,31,31
Ferencváros,1967,National Championship I,27,28,7,6,6,4,40,38
Ferencváros,1968,National Championship I,27,19,4,0,5,1,36,20
Ferencváros,1969,National Championship I,13,11,0,0,0,0,13,11
Ferencváros,1970,National Championship I,8,4,0,0,0,0,8,4
Ferencváros,1970–71,National Championship I,24,7,0,0,2,0,26,7
Ferencváros,1971–72,National Championship I,30,15,0,0,8,5,38,20
Ferencváros,1972–73,National Championship I,26,6,0,0,3,0,29,6
Ferencváros,1973–74,National Championship I,9,2,0,0,0,0,0,0
Career total,Career total,Career total,351,255,19,18,39,21,409,294
