# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,FA Cup Apps,FA Cup Goals,League Cup Apps,League Cup Goals,Other Apps,Other Goals,Total Apps,Total Goals
West Ham United,1959–60,First Division,3,0,0,0,0,0,—,—,3,0
West Ham United,1960–61,First Division,6,0,0,0,0,0,—,—,6,0
West Ham United,1961–62,First Division,24,1,1,0,2,0,—,—,27,1
West Ham United,1962–63,First Division,27,13,0,0,2,2,—,—,29,15
West Ham United,1963–64,First Division,37,14,7,7,6,5,—,—,50,26
West Ham United,1964–65,First Division,42,17,1,2,1,0,10,1,54,20
West Ham United,1965–66,First Division,39,23,4,4,10,11,6,2,59,40
West Ham United,1966–67,First Division,41,29,2,3,6,9,—,—,49,41
West Ham United,1967–68,First Division,38,19,3,1,3,5,—,—,44,25
West Ham United,1968–69,First Division,42,25,3,2,3,4,—,—,48,31
West Ham United,1969–70,First Division,39,16,1,0,2,2,—,—,42,18
West Ham United,1970–71,First Division,39,15,0,0,2,0,—,—,41,15
West Ham United,1971–72,First Division,34,8,4,4,10,4,—,—,48,16
West Ham United,Total,Total,411,180,26,23,47,42,16,3,500,248
Stoke City,1971–72,First Division,0,0,1,0,0,0,0,0,1,0
Stoke City,1972–73,First Division,38,10,0,0,3,2,2,1,43,13
Stoke City,1973–74,First Division,35,12,1,0,4,1,5,2,45,15
Stoke City,1974–75,First Division,35,8,1,0,4,3,1,0,38,8
Stoke City,Total,Total,108,30,3,0,11,6,8,3,130,39
Cape Town City (loan),1972–73,NFL,6,5,0,0,0,0,—,—,6,5
West Bromwich Albion,1975–76,Second Division,10,2,0,0,2,0,—,—,12,2
Cork Celtic,1975–76,League of Ireland,3,3,0,0,—,—,—,—,3,3
Seattle Sounders,1976,NASL,23,8,—,—,—,—,—,—,23,8
Career total,Career total,Career total,561,228,29,23,60,48,24,6,674,299
