# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,Continental Apps,Continental Goals,Other Apps,Other Goals,Total Apps,Total Goals
Barcelona B,1997–98,Segunda División B,33,2,—,—,—,—,6,0,39,2
Barcelona B,1998–99,Segunda División,18,0,—,—,—,—,—,—,18,0
Barcelona B,1999–2000,Segunda División B,4,1,—,—,—,—,—,—,4,1
Barcelona B,Total,Total,55,3,—,—,—,—,6,0,61,3
Barcelona,1998–99,La Liga,17,1,2,0,6,0,1,1,26,2
Barcelona,1999–2000,La Liga,24,0,4,1,10,1,0,0,38,2
Barcelona,2000–01,La Liga,20,2,7,0,9,0,—,—,36,2
Barcelona,2001–02,La Liga,35,4,1,0,16,0,—,—,52,4
Barcelona,2002–03,La Liga,29,2,1,0,14,1,—,—,44,3
Barcelona,2003–04,La Liga,36,4,6,0,7,1,—,—,49,5
Barcelona,2004–05,La Liga,36,3,1,0,8,0,—,—,45,3
Barcelona,2005–06,La Liga,16,0,0,0,4,0,2,0,22,0
Barcelona,2006–07,La Liga,35,3,7,2,7,0,5,1,54,6
Barcelona,2007–08,La Liga,35,7,7,1,12,1,—,—,54,9
Barcelona,2008–09,La Liga,35,6,5,1,14,3,—,—,54,10
Barcelona,2009–10,La Liga,34,3,3,2,11,1,5,1,53,7
Barcelona,2010–11,La Liga,31,3,6,0,12,2,1,0,50,5
Barcelona,2011–12,La Liga,31,10,7,2,9,1,4,1,51,14
Barcelona,2012–13,La Liga,30,5,5,0,11,1,2,1,48,7
Barcelona,2013–14,La Liga,30,3,5,0,10,1,2,0,47,4
Barcelona,2014–15,La Liga,31,2,3,0,10,0,—,—,44,2
Barcelona,Total,Total,505,58,70,9,170,13,22,5,767,85
Al Sadd,2015–16,Qatar Stars League,24,3,3,0,1,0,2,0,30,3
Al Sadd,2016–17,Qatar Stars League,26,10,3,0,1,0,2,0,32,10
Al Sadd,2017–18,Qatar Stars League,18,6,0,0,7,1,3,0,28,7
Al Sadd,2018–19,Qatar Stars League,14,2,3,0,8,3,2,0,27,5
Al Sadd,Total,Total,82,21,9,0,17,4,9,0,117,25
Career total,Career total,Career total,642,82,79,9,187,17,37,5,945,113
