# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,Continental Apps,Continental Goals,Other Apps,Other Goals,Total Apps,Total Goals
Ajax,2002–03,Eredivisie,17,4,3,1,3,0,—,—,23,5
Ajax,2003–04,Eredivisie,30,9,1,0,7,1,—,—,38,10
Ajax,2004–05,Eredivisie,30,7,3,1,7,0,1,1,41,9
Ajax,2005–06,Eredivisie,19,5,3,2,7,4,2,1,31,12
Ajax,2006–07,Eredivisie,30,18,4,1,9,1,4,2,47,22
Ajax,Total,Total,126,43,14,5,33,6,7,4,180,58
Real Madrid,2007–08,La Liga,30,9,2,0,5,0,1,0,38,9
Real Madrid,2008–09,La Liga,22,2,2,0,4,0,0,0,28,2
Real Madrid,Total,Total,52,11,4,0,9,0,1,0,66,11
Inter Milan,2009–10,Serie A,26,4,4,1,11,3,—,—,41,8
Inter Milan,2010–11,Serie A,25,4,2,0,9,3,3,0,39,7
Inter Milan,2011–12,Serie A,20,4,2,0,5,0,1,1,28,5
Inter Milan,2012–13,Serie A,5,1,0,0,3,1,—,—,8,2
Inter Milan,Total,Total,76,13,8,1,28,7,4,1,116,22
Galatasaray,2012–13,Süper Lig,12,3,—,—,4,1,—,—,16,4
Galatasaray,2013–14,Süper Lig,28,12,6,3,7,2,1,0,42,17
Galatasaray,2014–15,Süper Lig,31,10,6,3,6,1,1,0,44,14
Galatasaray,2015–16,Süper Lig,25,5,6,1,8,0,1,0,40,6
Galatasaray,2016–17,Süper Lig,28,5,4,0,—,—,1,0,31,5
Galatasaray,Total,Total,124,35,22,7,25,4,4,0,175,46
Nice,2017–18,Ligue 1,5,0,0,0,3,0,—,—,8,0
Al-Gharafa,2017–18,Qatar Stars League,11,9,0,0,6,2,—,—,17,11
Al-Gharafa,2018–19,Qatar Stars League,11,6,2,2,—,—,—,—,13,8
Al-Gharafa,Total,Total,22,15,2,2,6,2,—,—,30,19
Career total,Career total,Career total,405,117,50,15,104,19,16,5,575,156
