# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,League cup Apps,League cup Goals,Continental Apps,Continental Goals,Other Apps,Other Goals,Total Apps,Total Goals
Al Mokawloon Al Arab,2009–10,Egyptian Premier League,2,0,2,0,—,—,—,—,—,—,4,0
Al Mokawloon Al Arab,2010–11,Egyptian Premier League,21,4,4,1,—,—,—,—,—,—,25,5
Al Mokawloon Al Arab,2011–12,Egyptian Premier League,15,7,—,—,—,—,—,—,—,—,15,7
Al Mokawloon Al Arab,Total,Total,38,11,6,1,0,0,0,0,0,0,44,12
Basel,2012–13,Swiss Super League,29,5,5,3,—,—,16,2,—,—,50,10
Basel,2013–14,Swiss Super League,18,4,1,1,—,—,10,5,—,—,29,10
Basel,Total,Total,47,9,6,4,0,0,26,7,0,0,79,20
Chelsea,2013–14,Premier League,10,2,1,0,—,—,—,—,—,—,11,2
Chelsea,2014–15,Premier League,3,0,1,0,2,0,2,0,—,—,8,0
Chelsea,Total,Total,13,2,2,0,2,0,2,0,0,0,19,2
Fiorentina (loan),2014–15,Serie A,16,6,2,2,—,—,8,1,—,—,26,9
Roma (loan),2015–16,Serie A,34,14,1,0,—,—,7,1,—,—,42,15
Roma,2016–17,Serie A,31,15,2,2,—,—,8,2,—,—,41,19
Roma,Total,Total,65,29,3,2,0,0,15,3,0,0,83,34
Liverpool,2017–18,Premier League,36,32,1,1,0,0,15,11,—,—,52,44
Liverpool,2018–19,Premier League,38,22,1,0,1,0,12,5,—,—,52,27
Liverpool,2019–20,Premier League,34,19,2,0,0,0,8,4,4,0,48,23
Liverpool,2020–21,Premier League,37,22,2,3,1,0,10,6,1,0,51,31
Liverpool,2021–22,Premier League,35,23,2,0,1,0,13,8,—,—,51,31
Liverpool,2022–23,Premier League,38,19,3,1,1,1,8,8,1,1,51,30
Liverpool,2023–24,Premier League,32,18,1,1,2,1,9,5,—,—,44,25
Liverpool,2024–25,Premier League,38,29,0,0,5,2,9,3,—,—,52,34
Liverpool,2025–26,Premier League,6,2,0,0,0,0,1,1,1,0,8,3
Liverpool,Total,Total,294,186,12,6,11,4,85,51,7,1,409,248
Career total,Career total,Career total,473,243,31,15,13,4,136,62,7,1,660,325
