# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,Cup Apps,Cup Goals,League Cup Apps,League Cup Goals,Continental Apps,Continental Goals,Other Apps,Other Goals,Total Apps,Total Goals
Manchester United,1963–64,First Division,17,4,7,2,—,—,2,0,0,0,26,6
Manchester United,1964–65,First Division,41,10,7,2,—,—,11,2,0,0,59,14
Manchester United,1965–66,First Division,31,9,5,3,—,—,6,4,1,1,43,17
Manchester United,1966–67,First Division,42,10,2,0,1,0,—,—,0,0,45,10
Manchester United,1967–68,First Division,41,28,2,1,—,—,9,3,1,0,53,32
Manchester United,1968–69,First Division,41,19,6,1,—,—,6,2,2,0,55,22
Manchester United,1969–70,First Division,37,15,8,6,8,2,—,—,0,0,53,23
Manchester United,1970–71,First Division,40,18,2,1,6,2,—,—,3,1,51,22
Manchester United,1971–72,First Division,40,18,7,5,6,3,—,—,1,1,54,27
Manchester United,1972–73,First Division,19,4,0,0,4,2,—,—,0,0,23,6
Manchester United,1973–74,First Division,12,2,0,0,0,0,—,—,0,0,12,2
Manchester United,Total,Total,361,137,46,21,25,9,34,11,8,3,474,181
Dunstable Town,1974–75,Southern League Division One North,0,0,0,0,0,0,—,—,—,—,0,0
Stockport County,1975–76,Fourth Division,3,2,0,0,0,0,—,—,—,—,3,2
Cork Celtic,1975–76,League of Ireland,3,0,0,0,0,0,—,—,—,—,3,0
Los Angeles Aztecs,1976,North American Soccer League,23,15,—,—,—,—,—,—,1,0,24,15
Fulham,1976–77,Second Division,32,6,2,0,3,2,—,—,—,—,37,8
Fulham,1977–78,Second Division,10,2,0,0,0,0,—,—,—,—,10,2
Fulham,Total,Total,42,8,2,0,3,2,—,—,—,—,47,10
Los Angeles Aztecs,1977,North American Soccer League,20,11,—,—,—,—,—,—,5,2,25,13
Los Angeles Aztecs,1978,North American Soccer League,12,1,—,—,—,—,—,—,—,—,12,1
Los Angeles Aztecs,Total,Total,32,12,—,—,—,—,—,—,5,2,37,14
Fort Lauderdale Strikers,1978,North American Soccer League,9,4,—,—,—,—,—,—,5,1,14,5
Fort Lauderdale Strikers,1979,North American Soccer League,19,2,—,—,—,—,—,—,—,—,19,2
Fort Lauderdale Strikers,Total,Total,28,6,—,—,—,—,—,—,5,1,33,7
Hibernian,1979–80,Scottish Premier Division,13,3,3,0,0,0,—,—,—,—,16,3
Hibernian,1980–81,Scottish First Division,4,0,0,0,2,0,—,—,—,—,6,0
Hibernian,Total,Total,17,3,3,0,2,0,—,—,—,—,22,3
San Jose Earthquakes,1980,North American Soccer League,26,8,—,—,—,—,—,—,—,—,26,8
San Jose Earthquakes,1981,North American Soccer League,30,13,—,—,—,—,—,—,—,—,30,13
San Jose Earthquakes,Total,Total,56,21,—,—,—,—,—,—,—,—,56,21
AFC Bournemouth,1982–83,Third Division,5,0,0,0,0,0,—,—,—,—,5,0
Brisbane Lions,1983,National Soccer League,4,0,0,0,—,—,—,—,—,—,4,0
Career total,Career total,Career total,574,204,52,21,30,11,34,11,19,6,705,251
