# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,League cup Apps,League cup Goals,Continental Apps,Continental Goals,Other Apps,Other Goals,Total Apps,Total Goals
Nuorese,1984–85,Serie C2,4,0,—,—,—,—,—,—,—,—,4,0
Nuorese,1985–86,Serie D,27,10,—,—,—,—,—,—,—,—,27,10
Nuorese,Total,Total,31,10,0,0,0,0,0,0,0,0,31,10
Sassari Torres,1986–87,Serie C2,30,8,—,—,—,—,—,—,—,—,30,8
Sassari Torres,1987–88,Serie C1,24,2,—,—,—,—,—,—,—,—,24,2
Sassari Torres,1988–89,Serie C1,34,11,—,—,—,—,—,—,—,—,34,11
Sassari Torres,Total,Total,88,21,0,0,0,0,0,0,0,0,88,21
Napoli,1989–90,Serie A,18,2,6,1,—,—,2,0,—,—,26,3
Napoli,1990–91,Serie A,20,6,7,0,—,—,2,0,0,0,29,6
Napoli,1991–92,Serie A,34,12,4,1,—,—,—,—,—,—,38,13
Napoli,1992–93,Serie A,33,12,6,2,—,—,4,0,—,—,43,14
Napoli,Total,Total,105,32,23,4,0,0,8,0,0,0,136,36
Parma,1993–94,Serie A,33,18,7,3,—,—,9,1,2,0,51,22
Parma,1994–95,Serie A,32,19,7,4,—,—,12,5,—,—,51,28
Parma,1995–96,Serie A,29,10,1,0,1,0,5,2,—,—,36,12
Parma,1996–97,Serie A,8,2,1,0,—,—,2,0,—,—,11,2
Parma,Total,Total,102,49,16,7,1,0,28,8,2,0,149,64
Chelsea,1996–97,Premier League,23,8,7,4,0,0,—,—,—,—,30,12
Chelsea,1997–98,Premier League,27,8,1,0,4,0,8,4,1,0,41,12
Chelsea,1998–99,Premier League,37,13,6,1,0,0,5,1,1,0,49,15
Chelsea,1999–2000,Premier League,33,4,5,1,0,0,15,3,—,—,53,8
Chelsea,2000–01,Premier League,36,9,3,2,1,1,2,0,1,0,43,12
Chelsea,2001–02,Premier League,35,3,6,1,5,0,4,1,—,—,50,5
Chelsea,2002–03,Premier League,38,14,3,2,3,0,2,0,—,—,46,16
Chelsea,Total,Total,229,59,31,11,13,1,36,9,0,0,312,80
Cagliari,2003–04,Serie B,43,13,1,1,—,—,—,—,—,—,44,14
Cagliari,2004–05,Serie A,31,9,6,4,—,—,—,—,—,—,37,13
Cagliari,Total,Total,74,22,7,5,0,0,0,0,0,0,81,27
Career total,Career total,Career total,629,193,77,38,14,1,72,17,0,0,797,238
