# Appearances and goals by club, season and competition
Club,Season,Division,League Apps,League Goals,Cup Apps,Cup Goals,Europe Apps,Europe Goals,Total Apps,Total Goals
Näsvikens IK,1984,Division 4 Hälsingland,,,—,—,—,—,,
Näsvikens IK,1985,Division 4 Hälsingland,,,—,—,—,—,,
Näsvikens IK,1986,Division 4 Hälsingland,,,—,—,—,—,,
Näsvikens IK,Total,Total,36.0,10.0,—,—,—,—,36.0,10.0
GIF Sundsvall,1987,Allsvenskan,13.0,3.0,,,—,—,13.0,3.0
GIF Sundsvall,1988,Allsvenskan,21.0,6.0,,,—,—,21.0,6.0
GIF Sundsvall,1989,Allsvenskan,21.0,4.0,,,—,—,21.0,4.0
GIF Sundsvall,Total,Total,55.0,13.0,,,—,—,55.0,13.0
IFK Norrköping,1990,Allsvenskan,9.0,7.0,,,—,—,9.0,7.0
Parma,1990–91,Serie A,33.0,7.0,1,0,—,—,34.0,7.0
Parma,1991–92,Serie A,34.0,4.0,8,2,1,0,43.0,6.0
Parma,1992–93,Serie A,22.0,4.0,2,2,3,0,27.0,6.0
Parma,1993–94,Serie A,29.0,5.0,7,4,5,1,41.0,10.0
Parma,1994–95,Serie A,11.0,0.0,1,0,4,0,16.0,0.0
Parma,1995–96,Serie A,4.0,0.0,1,0,3,0,7.0,0.0
Parma,Total,Total,133.0,20.0,20,8,16,1,168.0,29.0
Leeds United,1995–96,Premier League,19.0,4.0,6,0,—,—,25.0,4.0
FC Zürich (loan),1996–97,Nationalliga A,3.0,0.0,—,—,—,—,3.0,0.0
Parma (loan),1996–97,Serie A,11.0,0.0,—,—,—,—,11.0,0.0
Crystal Palace,1997–98,Premier League,13.0,0.0,3,0,—,—,16.0,0.0
Hudiksvall ABK,1998,Division 2 Norrland,1.0,0.0,—,—,—,—,1.0,0.0
Career total,Career total,Career total,280.0,54.0,29,8,16,1,325.0,63.0
