# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,League cup Apps,League cup Goals,Continental Apps,Continental Goals,Total Apps,Total Goals
Grenoble,1984–85,Division 2,3,0,0,0,–,–,–,–,3,0
Grenoble,1985–86,Division 2,6,0,0,0,–,–,–,–,6,0
Grenoble,1986–87,Championnat National,26,4,0,0,–,–,–,–,26,4
Grenoble,1987–88,Division 2,19,8,1,0,–,–,–,–,20,8
Grenoble,1988–89,Division 2,25,11,3,1,–,–,–,–,28,12
Grenoble,1989–90,Division 2,3,0,0,0,–,–,–,–,3,0
Grenoble,Total,Total,82,23,4,1,0,0,0,0,86,24
Strasbourg,1989–90,Division 2,28,21,2,0,–,–,–,–,30,21
Strasbourg,1990–91,Division 2,7,4,0,0,–,–,–,–,7,4
Strasbourg,Total,Total,35,25,2,0,0,0,0,0,37,25
Monaco,1990–91,Division 1,20,5,6,1,–,–,–,–,26,6
Monaco,1991–92,Division 1,35,9,5,0,–,–,7,1,47,10
Monaco,1992–93,Division 1,32,11,2,2,–,–,4,1,38,14
Monaco,1993–94,Division 1,35,20,2,0,–,–,11,3,48,23
Monaco,1994–95,Division 1,33,14,1,0,3,0,–,–,37,14
Monaco,Total,Total,155,59,16,3,3,0,22,5,196,67
Paris Saint-Germain,1995–96,Division 1,35,13,2,2,1,0,8,4,46,19
Inter Milan,1996–97,Serie A,33,14,6,1,–,–,10,2,49,17
Inter Milan,1997–98,Serie A,29,8,4,0,–,–,9,0,42,8
Inter Milan,1998–99,Serie A,25,8,6,4,–,–,5,2,36,14
Inter Milan,Total,Total,87,30,16,5,0,0,24,4,127,39
1. FC Kaiserslautern,1999–2000,Bundesliga,25,11,1,0,0,0,5,2,31,13
1. FC Kaiserslautern,2000–01,Bundesliga,26,3,2,0,0,0,7,2,35,5
1. FC Kaiserslautern,2001–02,Bundesliga,4,0,0,0,–,–,–,–,4,0
1. FC Kaiserslautern,Total,Total,55,14,3,0,0,0,12,4,70,18
Bolton Wanderers,2001–02,Premier League,12,4,2,0,1,0,0,0,15,4
Bolton Wanderers,2002–03,Premier League,36,7,1,0,1,0,0,0,38,7
Bolton Wanderers,2003–04,Premier League,27,9,2,0,5,1,0,0,34,10
Bolton Wanderers,Total,Total,75,20,5,0,7,1,-,-,87,21
Blackburn Rovers,2004–05,Premier League,3,0,0,0,0,0,0,0,3,0
MetroStars / New York Red Bulls,2005,Major League Soccer,24,10,2,1,–,–,–,–,26,11
MetroStars / New York Red Bulls,2006,Major League Soccer,21,2,1,0,–,–,–,–,22,2
MetroStars / New York Red Bulls,Total,Total,45,12,3,1,0,0,0,0,48,13
Career total,Career total,Career total,572,196,47,12,9,1,66,17,694,226
