# List of international goals scored by Rafael van der Vaart
No.,Date,Venue,Opponent,Score,Result,Competition
1,6 September 2003,"De Kuip, Rotterdam, Netherlands",Austria,1–0,3–1,UEFA Euro 2004 qualification
2,10 September 2003,"Toyota Arena, Prague, Czech Republic",Czech Republic,1–2,1–3,UEFA Euro 2004 qualification
3,11 October 2003,"Philips Stadion, Eindhoven, Netherlands",Moldova,4–0,5–0,UEFA Euro 2004 qualification
4,1 June 2004,"Olympique de la Pontaise, Lausanne, Switzerland",Faroe Islands,1–0,3–0,Friendly
5,7 September 2005,"Philips Stadion, Eindhoven, Netherlands",Andorra,1–0,4–0,2006 FIFA World Cup qualification
6,8 October 2005,"Toyota Arena, Prague, Czech Republic",Czech Republic,1–0,2–0,2006 FIFA World Cup qualification
7,15 November 2006,"Amsterdam Arena, Amsterdam, Netherlands",England,1–1,1–1,Friendly
8,7 February 2007,"Amsterdam Arena, Amsterdam, Netherlands",Russia,4–1,4–1,Friendly
9,2 June 2007,"Seoul World Cup Stadium, Seoul, South Korea",South Korea,1–0,2–0,Friendly
10,2 June 2007,"Seoul World Cup Stadium, Seoul, South Korea",South Korea,2–0,2–0,Friendly
11,6 June 2007,"Rajamangala Stadium, Bangkok, Thailand",Thailand,1–0,3–1,Friendly
12,21 November 2007,"Dinamo Stadium, Minsk, Belarus",Belarus,1–2,1–2,UEFA Euro 2008 qualification
13,10 September 2008,"Philip II Arena, Skopje, Republic of Macedonia",North Macedonia,2–0,2–1,2010 FIFA World Cup qualification
14,1 April 2009,"Amsterdam Arena, Amsterdam, Netherlands",North Macedonia,4–0,4–0,2010 FIFA World Cup qualification
15,12 August 2009,"Amsterdam Arena, Amsterdam, Netherlands",England,2–0,2–2,Friendly
16,1 June 2010,"De Kuip, Rotterdam, Netherlands",Ghana,2–0,4–1,Friendly
17,25 March 2011,"Ferenc Puskás Stadium, Budapest, Hungary",Hungary,1–0,4–0,UEFA Euro 2012 qualification
18,30 May 2012,"De Kuip, Rotterdam, Netherlands",Slovakia,1–0,2–0,Friendly
19,17 June 2012,"Metalist Stadium, Kharkiv, Ukraine",Portugal,1–0,1–2,UEFA Euro 2012
20,12 October 2012,"De Kuip, Rotterdam, Netherlands",Andorra,1–0,3–0,2014 FIFA World Cup qualification
21,16 October 2012,"Arena Națională, Bucharest, Romania",Romania,3–1,4–1,2014 FIFA World Cup qualification
22,22 March 2013,"Amsterdam Arena, Amsterdam, Netherlands",Estonia,1–0,3–0,2014 FIFA World Cup qualification
23,26 March 2013,"Amsterdam Arena, Amsterdam, Netherlands",Romania,1–0,4–0,2014 FIFA World Cup qualification
24,11 October 2013,"Amsterdam Arena, Amsterdam, Netherlands",Hungary,7–1,8–1,2014 FIFA World Cup qualification
25,16 November 2013,"Cristal Arena, Genk, Belgium",Japan,1–0,2–2,Friendly
