# List of international goals scored by Roger Milla
No.,Date,Venue,Opponent,Score,Result,Competition,Ref.
1,19 November 1975,"Ahmadou Ahidjo Stadium, Yaoundé, Cameroon",Zaire,—,2–1,Friendly,
2,7 July 1976,"Stade d'Angondjé, Libreville, Gabon",Rwanda,5–0,5–0,1976 Central African Games,
3,10 July 1976,"Stade d'Angondjé, Libreville, Gabon",Burundi,—,5–0,1976 Central African Games,
4,10 July 1976,"Stade d'Angondjé, Libreville, Gabon",Burundi,—,5–0,1976 Central African Games,
5,14 July 1976,"Stade d'Angondjé, Libreville, Gabon",Congo,—,3–2,1976 Central African Games,
6,14 July 1976,"Stade d'Angondjé, Libreville, Gabon",Congo,3–2,3–2,1976 Central African Games,
7,17 October 1976,"Stade de la Revolution, Brazzaville, Congo",Congo,1–0,2–2,1978 FIFA World Cup qualification,
8,31 October 1976,"Ahmadou Ahidjo Stadium, Yaoundé, Cameroon",Congo,1–0,1–2,1978 FIFA World Cup qualification,
9,26 January 1977,"Ahmadou Ahidjo Stadium, Yaoundé, Cameroon",Congo,—,2–2,Friendly,
10,13 March 1977,"Ahmadou Ahidjo Stadium, Yaoundé, Cameroon",Congo,2–0,2–0,1978 African Cup of Nations qualification,
11,27 December 1977,"Ahmadou Ahidjo Stadium, Yaoundé, Cameroon",Rwanda,—,4–0,1978 All-Africa Games qualification,
12,27 December 1977,"Ahmadou Ahidjo Stadium, Yaoundé, Cameroon",Rwanda,—,4–0,1978 All-Africa Games qualification,
13,10 April 1979,"Ahmadou Ahidjo Stadium, Yaoundé, Cameroon",Guinea,1–0,3–0,1980 African Cup of Nations qualification,
14,10 April 1979,"Ahmadou Ahidjo Stadium, Yaoundé, Cameroon",Guinea,2–0,3–0,1980 African Cup of Nations qualification,
15,10 April 1979,"Ahmadou Ahidjo Stadium, Yaoundé, Cameroon",Guinea,3–0,3–0,1980 African Cup of Nations qualification,
16,29 June 1980,"Ahmadou Ahidjo Stadium, Yaoundé, Cameroon",Malawi,1–0,3–0,1982 FIFA World Cup qualification,
17,5 April 1981,"Reunification Stadium, Douala, Cameroon",Togo,1–0,4–0,1982 African Cup of Nations qualification,
18,5 April 1981,"Reunification Stadium, Douala, Cameroon",Togo,3–0,4–0,1982 African Cup of Nations qualification,
19,5 April 1981,"Reunification Stadium, Douala, Cameroon",Togo,4–0,4–0,1982 African Cup of Nations qualification,
20,26 April 1981,"Reunification Stadium, Douala, Cameroon",Zaire,1–0,6–1,1982 FIFA World Cup qualification,
21,26 April 1981,"Reunification Stadium, Douala, Cameroon",Zaire,3–0,6–1,1982 FIFA World Cup qualification,
22,26 April 1981,"Reunification Stadium, Douala, Cameroon",Zaire,6–1,6–1,1982 FIFA World Cup qualification,
23,16 August 1981,"Ahmadou Ahidjo Stadium, Yaoundé, Cameroon",Madagascar,5–1,5–1,1982 African Cup of Nations qualification,
24,15 November 1981,"Kenitra Municipal Stadium, Kenitra, Morocco",Morocco,1–0,2–0,1982 FIFA World Cup qualification,
25,29 November 1981,"Ahmadou Ahidjo Stadium, Yaoundé, Cameroon",Morocco,2–1,2–1,1982 FIFA World Cup qualification,
26,10 March 1984,"Felix Houphouet Boigny Stadium, Abidjan, Ivory Coast",Ivory Coast,1–0,2–0,1984 African Cup of Nations,
27,30 July 1984,"Navy–Marine Corps Memorial Stadium, Annapolis, United States",Yugoslavia,1–0,1–2,1984 Summer Olympics,
28,15 September 1985,"Ahmadou Ahidjo Stadium, Yaoundé, Cameroon",Saudi Arabia,2–0,4–1,1985 Afro-Asian Cup of Nations,
29,15 September 1985,"Ahmadou Ahidjo Stadium, Yaoundé, Cameroon",Saudi Arabia,3–0,4–1,1985 Afro-Asian Cup of Nations,
30,8 March 1986,"Alexandria Stadium, Alexandria, Egypt",Zambia,1–0,3–2,1986 African Cup of Nations,
31,11 March 1986,"Alexandria Stadium, Alexandria, Egypt",Morocco,1–0,1–1,1986 African Cup of Nations,
32,14 March 1986,"Alexandria Stadium, Alexandria, Egypt",Algeria,3–1,3–2,1986 African Cup of Nations,
33,17 March 1986,"Alexandria Stadium, Alexandria, Egypt",Ivory Coast,1–0,1–0,1986 African Cup of Nations,
34,29 March 1987,"Ahmadou Ahidjo Stadium, Yaoundé, Cameroon",Uganda,5–1,5–1,1988 African Cup of Nations qualification,
35,5 July 1987,"Ahmadou Ahidjo Stadium, Yaoundé, Cameroon",Sudan,2–0,2–0,1988 African Cup of Nations qualification,
36,15 November 1987,"Ahmadou Ahidjo Stadium, Yaoundé, Cameroon",Ghana,1–1,2–2,1988 Summer Olympics qualification,
37,14 March 1988,"Prince Moulay Abdellah Stadium, Rabat, Morocco",Egypt,1–0,1–0,1988 African Cup of Nations,
38,17 March 1988,"Prince Moulay Abdellah Stadium, Rabat, Morocco",Nigeria,1–1,1–1,1988 African Cup of Nations,
39,14 June 1990,"Stadio San Nicola, Bari, Italy",Romania,1–0,2-1,1990 FIFA World Cup,
40,14 June 1990,"Stadio San Nicola, Bari, Italy",Romania,2–0,2-1,1990 FIFA World Cup,
41,23 June 1990,"Stadio San Paolo, Naples, Italy",Colombia,1–0,2–1,1990 FIFA World Cup,
42,23 June 1990,"Stadio San Paolo, Naples, Italy",Colombia,2–0,2–1,1990 FIFA World Cup,
43,28 June 1994,"Stanford Stadium, Stanford, United States",Russia,1–3,1–6,1994 FIFA World Cup,
