# List of international goals scored by Garrincha
No.,Date,Venue,Opponent,Score,Result,Competition,Ref.
1,29 April 1960,"Nasser Stadium, Cairo, Egypt",Egypt,–,5–0,Friendly,
2,6 May 1960,"Nasser Stadium, Cairo, Egypt",Egypt,–,3–0,Friendly,
3,7 May 1961,"Estadio Nacional, Santiago, Chile",Chile,–,2–1,1961 Copa Bernardo O'Higgins,
4,21 April 1962,"Estádio Municipal, Rio de Janeiro, Brazil",Paraguay,–,6–0,1962 Taça Oswaldo Cruz,
5,12 May 1962,"Estádio Municipal, Rio de Janeiro, Brazil",Wales,–,3–1,Friendly,
6,10 June 1962,"Estadio Sausalito, Viña del Mar, Chile",England,1–0,3–1,1962 FIFA World Cup,
7,10 June 1962,"Estadio Sausalito, Viña del Mar, Chile",England,3–1,3–1,1962 FIFA World Cup,
8,13 June 1962,"Estadio Sausalito, Viña del Mar, Chile",Chile,1–0,4–2,1962 FIFA World Cup,
9,13 June 1962,"Estadio Sausalito, Viña del Mar, Chile",Chile,2–0,4–2,1962 FIFA World Cup,
10,14 May 1966,"Maracanã Stadium, Rio de Janeiro, Brazil",Wales,–,3–1,Friendly,
11,8 June 1966,"Maracanã Stadium, Rio de Janeiro, Brazil",Poland,2–0,2–1,Friendly,
12,12 July 1966,"Goodison Park, Liverpool, England",Bulgaria,2–0,2–0,1966 FIFA World Cup,
