# Appearances and goals by national team and year
Team,Year,Competitive Apps,Competitive Goals,Friendly Apps,Friendly Goals,Total Apps,Total Goals
Spain U16,2002,–,–,1,0,1,0
Spain U17,2003,–,–,1,0,1,0
Spain U19,2004,7,0,–,–,7,0
Spain U21,2004,3,0,3,0,6,0
Spain,2005,4,2,3,0,7,2
Spain,2006,6,0,7,0,13,0
Spain,2007,8,2,2,0,10,2
Spain,2008,9,0,6,0,15,0
Spain,2009,7,0,4,0,11,0
Spain,2010,10,0,6,1,16,1
Spain,2011,5,1,5,0,10,1
Spain,2012,9,1,7,1,16,2
Spain,2013,10,1,7,0,17,1
Spain,2014,5,1,4,0,9,1
Spain,2015,4,0,2,0,6,0
Spain,2016,7,0,3,0,10,0
Spain,2017,6,1,3,2,9,3
Spain,2018,8,3,4,1,12,4
Spain,2019,9,4,–,–,9,4
Spain,2020,6,2,2,0,8,2
Spain,2021,2,0,0,0,2,0
Spain,Total,115,18,65,5,180,23
Career total,Career total,125,18,70,5,195,23
