# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,Cup Apps,Cup Goals,Europe Apps,Europe Goals,Other Apps,Other Goals,Total Apps,Total Goals
AC Milan,1988–89,Serie A,1,0,0,0,—,—,—,—,1,0
AC Milan,1989–90,Serie A,1,0,0,0,—,—,—,—,1,0
AC Milan,1990–91,Serie A,0,0,2,0,—,—,—,—,2,0
AC Milan,1991–92,Serie A,28,3,5,0,—,—,—,—,33,3
AC Milan,1992–93,Serie A,29,2,6,0,7,1,1,0,43,3
AC Milan,1993–94,Serie A,26,3,0,0,13,1,2,0,41,4
AC Milan,1994–95,Serie A,30,2,4,0,11,0,2,0,47,2
AC Milan,1995–96,Serie A,30,0,3,0,5,0,—,—,38,0
AC Milan,1996–97,Serie A,29,8,2,0,5,1,1,0,37,9
AC Milan,1997–98,Serie A,28,0,9,2,—,—,—,—,37,2
AC Milan,1998–99,Serie A,29,2,3,0,—,—,—,—,32,2
AC Milan,1999–2000,Serie A,26,1,1,0,5,0,1,0,33,1
AC Milan,2000–01,Serie A,12,0,2,0,11,2,—,—,25,2
AC Milan,2001–02,Serie A,24,0,4,0,8,0,—,—,36,0
AC Milan,Total,Total,293,21,41,2,65,5,7,0,406,28
Padova (loan),1990–91,Serie B,28,5,—,—,—,—,—,—,28,5
Atlético Madrid,2002–03,La Liga,28,2,2,1,—,—,—,—,30,3
Lazio,2003–04,Serie A,23,2,4,0,8,0,—,—,35,2
Atalanta,2004–05,Serie A,14,1,2,1,—,—,—,—,16,2
Barcelona,2004–05,La Liga,5,0,—,—,1,0,—,—,6,0
Career total,Career total,Career total,391,31,49,4,74,5,7,0,521,40
