# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,League cup Apps,League cup Goals,Europe Apps,Europe Goals,Other Apps,Other Goals,Total Apps,Total Goals
Ajax,2009–10,Eredivisie,15,0,4,1,—,—,2,0,—,—,21,1
Ajax,2010–11,Eredivisie,28,6,6,1,—,—,12,1,1,0,47,8
Ajax,2011–12,Eredivisie,33,7,2,0,—,—,8,1,1,0,44,8
Ajax,2012–13,Eredivisie,33,10,4,2,—,—,8,1,—,—,45,13
Ajax,2013–14,Eredivisie,4,2,—,—,—,—,—,—,1,0,5,2
Ajax,Total,Total,113,25,16,4,—,—,30,3,3,0,162,32
Tottenham Hotspur,2013–14,Premier League,25,7,1,0,1,0,9,3,—,—,36,10
Tottenham Hotspur,2014–15,Premier League,38,10,2,0,4,2,4,0,—,—,48,12
Tottenham Hotspur,2015–16,Premier League,35,6,4,1,1,0,7,1,—,—,47,8
Tottenham Hotspur,2016–17,Premier League,36,8,3,1,1,2,8,1,—,—,48,12
Tottenham Hotspur,2017–18,Premier League,37,10,3,2,1,0,6,2,—,—,47,14
Tottenham Hotspur,2018–19,Premier League,35,8,0,0,4,0,12,2,—,—,51,10
Tottenham Hotspur,2019–20,Premier League,20,2,2,0,1,0,5,1,—,—,28,3
Tottenham Hotspur,Total,Total,226,51,15,4,13,4,51,10,—,—,305,69
Inter Milan,2019–20,Serie A,17,1,3,1,—,—,6,2,—,—,26,4
Inter Milan,2020–21,Serie A,26,3,4,1,—,—,4,0,—,—,34,4
Inter Milan,Total,Total,43,4,7,2,—,—,10,2,—,—,60,8
Brentford,2021–22,Premier League,11,1,0,0,—,—,—,—,—,—,11,1
Manchester United,2022–23,Premier League,28,1,4,0,4,1,8,0,—,—,44,2
Manchester United,2023–24,Premier League,22,1,2,0,0,0,4,0,—,—,28,1
Manchester United,2024–25,Premier League,23,1,1,0,2,2,9,2,0,0,35,5
Manchester United,Total,Total,73,3,7,0,6,3,21,2,0,0,107,8
VfL Wolfsburg,2025–26,Bundesliga,2,0,0,0,—,—,—,—,—,—,2,0
Career total,Career total,Career total,468,84,45,10,19,7,112,17,3,0,647,118
