# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National Cup Apps,National Cup Goals,League Cup Apps,League Cup Goals,Continental Apps,Continental Goals,Other Apps,Other Goals,Total Apps,Total Goals
Wolverhampton Wanderers,1997–98,First Division,38,11,3,0,4,0,—,—,—,—,45,11
Wolverhampton Wanderers,1998–99,First Division,33,11,2,2,4,3,—,—,—,—,39,16
Wolverhampton Wanderers,1999–2000,First Division,2,2,—,—,1,0,—,—,—,—,3,2
Wolverhampton Wanderers,Total,Total,73,24,5,2,9,3,0,0,0,0,87,29
Coventry City,1999–2000,Premier League,31,12,3,0,0,0,—,—,—,—,34,12
Inter Milan,2000–01,Serie A,6,0,3,1,1,1,4,1,—,—,14,3
Leeds United (loan),2000–01,Premier League,18,9,2,0,—,—,—,—,—,—,20,9
Leeds United,2001–02,Premier League,25,3,0,0,2,3,6,3,—,—,33,9
Leeds United,2002–03,Premier League,3,1,—,—,—,—,—,—,—,—,3,1
Leeds United,Total,Total,46,13,2,0,2,3,6,3,0,0,56,19
Tottenham Hotspur,2002–03,Premier League,29,13,1,0,2,0,—,—,—,—,32,13
Tottenham Hotspur,2003–04,Premier League,34,14,3,1,4,1,—,—,—,—,41,16
Tottenham Hotspur,2004–05,Premier League,35,11,6,3,4,3,—,—,—,—,45,17
Tottenham Hotspur,2005–06,Premier League,36,16,1,0,1,0,—,—,—,—,38,16
Tottenham Hotspur,2006–07,Premier League,27,11,5,5,3,1,9,5,—,—,44,22
Tottenham Hotspur,2007–08,Premier League,36,15,3,2,5,2,10,4,—,—,54,23
Tottenham Hotspur,Total,Total,197,80,19,11,19,7,19,9,0,0,254,107
Liverpool,2008–09,Premier League,19,5,1,0,1,0,7,2,—,—,28,7
Liverpool,Total,Total,19,5,1,0,1,0,7,2,0,0,28,7
Tottenham Hotspur,2008–09,Premier League,14,5,—,—,—,—,—,—,—,—,14,5
Tottenham Hotspur,2009–10,Premier League,20,6,2,1,3,2,—,—,—,—,25,9
Tottenham Hotspur,2010–11,Premier League,7,0,—,—,1,1,5,0,—,—,13,1
Tottenham Hotspur,Total,Total,41,11,2,1,4,3,5,0,0,0,52,15
Celtic (loan),2009–10,Scottish Premier League,16,12,3,4,0,0,—,—,—,—,19,16
West Ham United (loan),2010–11,Premier League,9,2,1,0,—,—,—,—,—,—,10,2
LA Galaxy,2011,MLS,4,2,0,0,—,—,3,1,4,1,11,4
LA Galaxy,2012,MLS,28,16,0,0,—,—,3,1,6,6,37,23
LA Galaxy,2013,MLS,23,16,0,0,—,—,5,3,2,0,30,19
LA Galaxy,2014,MLS,29,19,1,0,—,—,2,2,5,2,37,23
LA Galaxy,2015,MLS,24,20,2,3,—,—,1,2,1,0,28,25
LA Galaxy,2016,MLS,17,10,0,0,—,—,2,0,3,0,22,10
LA Galaxy,Total,Total,125,83,3,3,0,0,16,9,21,9,165,104
Aston Villa (loan),2011–12,Premier League,6,3,1,0,—,—,—,—,—,—,7,3
ATK,2017–18,Indian Super League,9,6,2,2,—,—,—,—,—,—,11,8
Career total,Career total,Career total,578,251,45,24,36,17,57,24,21,9,737,325
