# List of international goals scored by Frank Lampard
No.,Date,Venue,Cap,Opponent,Score,Result,Competition
1,20 August 2003,"Portman Road, Ipswich, England",12,Croatia,3–1,3–1,Friendly
2,5 June 2004,"City of Manchester Stadium, Manchester, England",19,Iceland,1–0,6–1,2004 FA Summer Tournament
3,13 June 2004,"Estádio da Luz, Lisbon, Portugal",20,France,1–0,1–2,UEFA Euro 2004
4,21 June 2004,"Estádio da Luz, Lisbon, Portugal",22,Croatia,4–2,4–2,UEFA Euro 2004
5,24 June 2004,"Estádio da Luz, Lisbon, Portugal",23,Portugal,2–2,2–2,UEFA Euro 2004
6,4 September 2004,"Ernst-Happel-Stadion, Vienna, Austria",25,Austria,1–0,2–2,2006 FIFA World Cup qualification
7,9 October 2004,"Old Trafford, Manchester, England",27,Wales,1–0,2–0,2006 FIFA World Cup qualification
8,26 March 2005,"Old Trafford, Manchester, England",31,Northern Ireland,4–0,4–0,2006 FIFA World Cup qualification
9,8 October 2005,"Old Trafford, Manchester, England",36,Austria,1–0,1–0,2006 FIFA World Cup qualification
10,12 October 2005,"Old Trafford, Manchester, England",37,Poland,2–1,2–1,2006 FIFA World Cup qualification
11,3 June 2006,"Old Trafford, Manchester, England",40,Jamaica,1–0,6–0,Friendly
12,16 August 2006,"Old Trafford, Manchester, England",46,Greece,2–0,4–0,Friendly
13,22 August 2007,"Wembley Stadium, London, England",56,Germany,1–0,1–2,Friendly
14,21 November 2007,"Wembley Stadium, London, England",60,Croatia,1–2,2–3,UEFA Euro 2008 qualifying
15,28 March 2009,"Wembley Stadium, London, England",68,Slovakia,3–0,4–0,Friendly
16,6 June 2009,"Almaty Central Stadium, Almaty, Kazakhstan",70,Kazakhstan,4–0,4–0,2010 FIFA World Cup qualification
17,10 June 2009,"Wembley Stadium, London, England",71,Andorra,2–0,6–0,2010 FIFA World Cup qualification
18,5 September 2009,"Wembley Stadium, London, England",73,Slovenia,1–0,2–1,Friendly
19,9 September 2009,"Wembley Stadium, London, England",74,Croatia,1–0,5–1,2010 FIFA World Cup qualification
20,9 September 2009,"Wembley Stadium, London, England",74,Croatia,3–0,5–1,2010 FIFA World Cup qualification
21,26 March 2011,"Millennium Stadium, Cardiff, Wales",85,Wales,1–0,2–0,UEFA Euro 2012 qualifying
22,4 June 2011,"Wembley Stadium, London, England",86,Switzerland,1–2,2–2,UEFA Euro 2012 qualifying
23,12 November 2011,"Wembley Stadium, London, England",90,Spain,1–0,1–0,Friendly
24,7 September 2012,"Zimbru Stadium, Chișinău, Moldova",92,Moldova,1–0,5–0,2014 FIFA World Cup qualification
25,7 September 2012,"Zimbru Stadium, Chișinău, Moldova",92,Moldova,2–0,5–0,2014 FIFA World Cup qualification
26,11 September 2012,"Wembley Stadium, London, England",93,Ukraine,1–1,1–1,2014 FIFA World Cup qualification
27,6 February 2013,"Wembley Stadium, London, England",94,Brazil,2–1,2–1,Friendly
28,22 March 2013,"Stadio Olimpico di San Marino, Serravalle, San Marino",95,San Marino,5–0,8–0,2014 FIFA World Cup qualification
29,29 May 2013,"Wembley Stadium, London, England",96,Republic of Ireland,1–1,1–1,Friendly
