# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,League cup Apps,League cup Goals,Continental Apps,Continental Goals,Total Apps,Total Goals
Kőbányai TC,1945–46,Nemzeti Bajnokság I,5,0,,,,,,,5,0
Ferencváros,1946–47,Nemzeti Bajnokság I,3,2,,,,,,,3,2
Ferencváros,1947–48,Nemzeti Bajnokság I,21,5,,,,,,,21,5
Ferencváros,1948–49,Nemzeti Bajnokság I,30,33,,,,,,,30,33
Ferencváros,1949–50,Nemzeti Bajnokság I,30,30,,,,,,,30,30
Ferencváros,Total,Total,84,67,,,,,,,84,67
Budapest Honvéd,1950,Nemzeti Bajnokság I,15,24,,,,,,,15,24
Budapest Honvéd,1951,Nemzeti Bajnokság I,26,30,1.0,3.0,,,,,27,33
Budapest Honvéd,1952,Nemzeti Bajnokság I,26,36,3.0,13.0,,,,,29,49
Budapest Honvéd,1953,Nemzeti Bajnokság I,25,24,,,,,,,25,24
Budapest Honvéd,1954,Nemzeti Bajnokság I,26,33,5.0,13.0,,,,,31,46
Budapest Honvéd,1955,Nemzeti Bajnokság I,21,17,1.0,3.0,,,4.0,6.0,26,26
Budapest Honvéd,1956,Nemzeti Bajnokság I,21,13,,,,,2.0,2.0,23,15
Budapest Honvéd,Total,Total,160,177,10.0,32.0,,,6.0,8.0,176,217
Young Fellows Juventus,1957–58,Nationalliga A,11,7,,,,,,,11,7
Barcelona,1958–59,La Liga,4,4,6.0,11.0,—,—,0.0,0.0,10,15
Barcelona,1959–60,La Liga,9,3,0.0,0.0,—,—,4.0,5.0,13,8
Barcelona,1960–61,La Liga,10,4,1.0,1.0,—,—,9.0,6.0,20,11
Barcelona,1961–62,La Liga,20,17,2.0,0.0,—,—,6.0,3.0,28,20
Barcelona,1962–63,La Liga,9,2,7.0,3.0,—,—,3.0,4.0,19,9
Barcelona,1963–64,La Liga,19,12,6.0,4.0,—,—,4.0,3.0,29,19
Barcelona,1964–65,La Liga,4,0,0.0,0.0,—,—,3.0,0.0,7,0
Barcelona,Total,Total,75,42,22.0,19.0,—,—,29.0,21.0,126,82
Career total,Career total,Career total,335,293,32.0,51.0,,,35.0,29.0,402,373
