# List of international goals scored by Rob Rensenbrink
No.,Date,Venue,Opponent,Score,Result,Competition,Ref.
1,26 May 1974,"Olympic Stadium, Amsterdam, Netherlands",Argentina,2–0,4–1,Friendly,
2,30 June 1974,"Parkstadion, Gelsenkirchen, Germany",East Germany,2–0,2–0,1974 FIFA World Cup,
3,4 September 1974,"Råsunda Stadium, Stockholm, Sweden",Sweden,5–1,5–1,Friendly,
4,20 November 1974,"De Kuip, Rotterdam, Netherlands",Italy,1–1,3–1,UEFA Euro 1976 qualification,
5,25 April 1976,"De Kuip, Rotterdam, Netherlands",Belgium,2–0,5–0,UEFA Euro 1976 qualification,
6,25 April 1976,"De Kuip, Rotterdam, Netherlands",Belgium,3–0,5–0,UEFA Euro 1976 qualification,
7,25 April 1976,"De Kuip, Rotterdam, Netherlands",Belgium,5–0,5–0,UEFA Euro 1976 qualification,
8,22 February 1978,"Ramat Gan Stadium, Ramat Gan, Israel",Israel,1–0,2–1,Friendly,
9,3 June 1978,"Estadio Malvinas Argentinas, Mendoza Argentina",Iran,1–0,3–0,1978 FIFA World Cup,
10,3 June 1978,"Estadio Malvinas Argentinas, Mendoza Argentina",Iran,2–0,3–0,1978 FIFA World Cup,
11,3 June 1978,"Estadio Malvinas Argentinas, Mendoza Argentina",Iran,3–0,3–0,1978 FIFA World Cup,
12,11 June 1978,"Estadio Malvinas Argentinas, Mendoza Argentina",Scotland,1–0,2–3,1978 FIFA World Cup,
13,14 June 1978,"Estadio Córdoba, Córdoba, Argentina",Austria,2–0,5–1,1978 FIFA World Cup,
14,20 September 1978,"Goffertstadion, Nijmegen, Netherlands",Iceland,3–0,3–0,UEFA Euro 1980 qualification,
