# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,League cup Apps,League cup Goals,Continental Apps,Continental Goals,Other Apps,Other Goals,Total Apps,Total Goals
Monaco,1988–89,Division 1,9,0,9,1,–,–,0,0,–,–,18,1
Monaco,1989–90,Division 1,28,0,1,0,–,–,7,0,–,–,36,0
Monaco,1990–91,Division 1,27,1,6,0,–,–,5,0,–,–,38,1
Monaco,1991–92,Division 1,28,0,4,0,–,–,7,0,–,–,39,0
Monaco,1992–93,Division 1,25,1,2,0,–,–,–,–,–,–,27,1
Monaco,1993–94,Division 1,28,0,2,0,–,–,10,0,–,–,40,0
Monaco,1994–95,Division 1,25,1,1,0,1,0,–,–,–,–,27,1
Monaco,1995–96,Division 1,23,1,3,0,0,0,1,0,–,–,27,1
Monaco,1996–97,Division 1,29,0,1,0,3,0,7,0,–,–,40,0
Monaco,Total,Total,222,4,29,1,4,0,37,0,–,–,292,5
Arsenal,1997–98,Premier League,32,2,7,0,3,0,2,0,–,–,44,2
Arsenal,1998–99,Premier League,26,4,3,2,0,0,3,0,1,0,33,6
Arsenal,1999–2000,Premier League,27,3,3,0,0,0,10,0,1,0,41,3
Arsenal,Total,Total,85,9,13,2,3,0,15,0,2,0,118,11
Barcelona,2000–01,La Liga,23,1,5,0,–,–,10,0,–,–,38,1
Chelsea,2001–02,Premier League,27,1,6,0,2,0,3,0,–,–,38,1
Chelsea,2002–03,Premier League,24,1,5,0,1,1,1,0,–,–,31,2
Chelsea,2003–04,Premier League,4,0,1,0,0,0,2,0,–,–,7,0
Chelsea,Total,Total,55,2,12,0,3,1,6,0,–,–,76,3
Career total,Career total,Career total,385,16,59,3,10,1,68,0,2,0,524,20
