# List of international goals scored by Tomas Brolin
No.,Date,Venue,Opponent,Score,Result,Competition
1,25 April 1990,"Råsunda, Stockholm, Sweden",Wales,1–0,4–2,Friendly
2,25 April 1990,"Råsunda, Stockholm, Sweden",Wales,2–0,4–2,Friendly
3,27 May 1990,"Råsunda, Stockholm, Sweden",Finland,3–0,6–0,Friendly
4,27 May 1990,"Råsunda, Stockholm, Sweden",Finland,4–0,6–0,Friendly
5,10 June 1990,"Stadio delle Alpi, Turin, Italy",Brazil,1–2,1–2,1990 FIFA World Cup
6,5 June 1991,"Råsunda, Stockholm, Sweden",Colombia,1–0,2–2,Friendly
7,5 June 1991,"Ullevi, Gothenburg, Sweden",Soviet Union,1–0,2–3,Scania 100 Tournament
8,5 June 1991,"Ullevi, Gothenburg, Sweden",Soviet Union,2–2,2–3,Scania 100 Tournament
9,15 June 1991,"Idrottsparken, Norrköping, Sweden",Denmark,4–0,4–0,Scania 100 Tournament
10,8 August 1991,"Ullevaal Stadion, Oslo, Norway",Norway,1–1,2–1,Friendly
11,14 June 1992,"Råsunda, Stockholm, Sweden",Denmark,1–0,1–0,UEFA Euro 1992
12,17 June 1992,"Råsunda, Stockholm, Sweden",England,2–1,2–1,UEFA Euro 1992
13,21 June 1992,"Råsunda, Stockholm, Sweden",Germany,1–2,2–3,UEFA Euro 1992
14,2 June 1993,"Råsunda, Stockholm, Sweden",Israel,1–0,5–0,1994 FIFA World Cup qualification
15,2 June 1993,"Råsunda, Stockholm, Sweden",Israel,2–0,5–0,1994 FIFA World Cup qualification
16,2 June 1993,"Råsunda, Stockholm, Sweden",Israel,4–0,5–0,1994 FIFA World Cup qualification
17,20 April 1994,"Racecourse Ground, Wrexham, Wales",Wales,2–0,2–0,Friendly
18,5 June 1994,"Råsunda, Stockholm, Sweden",Norway,1–0,2–0,Friendly
19,5 June 1994,"Råsunda, Stockholm, Sweden",Norway,2–0,2–0,Friendly
20,24 June 1994,"Pontiac Silverdome, Pontiac, United States",Russia,1–1,3–1,1994 FIFA World Cup
21,10 July 1994,"Stanford Stadium, Palo Alto, United States",Romania,1–0,2–2,1994 FIFA World Cup
22,16 July 1994,"Rose Bowl, Pasadena, United States",Bulgaria,1–0,4–0,1994 FIFA World Cup
23,17 August 1994,"Eyravallen, Örebro, Sweden",Lithuania,1–0,4–2,Friendly
24,17 August 1994,"Eyravallen, Örebro, Sweden",Lithuania,2–0,4–2,Friendly
25,16 November 1994,"Råsunda, Stockholm, Sweden",Hungary,1–0,2–0,UEFA Euro 1996 qualifying
26,1 June 1995,"Råsunda, Stockholm, Sweden",Iceland,1–1,1–1,UEFA Euro 1996 qualifying
27,16 August 1995,"Idrottsparken, Norrköping, Sweden",United States,1–0,1–0,Friendly
