# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,League cup Apps,League cup Goals,Continental Apps,Continental Goals,Other Apps,Other Goals,Total Apps,Total Goals
Lyon II,2004–05,CFA,11,10,—,—,—,—,—,—,—,—,11,10
Lyon II,2005–06,CFA,9,5,—,—,—,—,—,—,—,—,9,5
Lyon II,Total,Total,20,15,—,—,—,—,—,—,—,—,20,15
Lyon,2004–05,Ligue 1,6,0,0,0,0,0,0,0,—,—,6,0
Lyon,2005–06,Ligue 1,13,1,2,2,0,0,1,1,—,—,16,4
Lyon,2006–07,Ligue 1,21,5,1,0,1,0,3,2,1,1,27,8
Lyon,2007–08,Ligue 1,36,20,6,6,2,1,7,4,1,0,52,31
Lyon,2008–09,Ligue 1,36,17,2,1,0,0,8,5,1,0,47,23
Lyon,Total,Total,112,43,11,9,3,1,19,12,3,1,148,66
Real Madrid,2009–10,La Liga,27,8,1,0,—,—,5,1,—,—,33,9
Real Madrid,2010–11,La Liga,33,15,7,5,—,—,8,6,—,—,48,26
Real Madrid,2011–12,La Liga,34,21,5,3,—,—,11,7,2,1,52,32
Real Madrid,2012–13,La Liga,30,11,8,4,—,—,10,5,2,0,50,20
Real Madrid,2013–14,La Liga,35,17,6,2,—,—,11,5,—,—,52,24
Real Madrid,2014–15,La Liga,29,15,3,0,—,—,9,6,5,1,46,22
Real Madrid,2015–16,La Liga,27,24,0,0,—,—,9,4,—,—,36,28
Real Madrid,2016–17,La Liga,29,11,3,1,—,—,13,5,3,2,48,19
Real Madrid,2017–18,La Liga,32,5,1,1,—,—,9,5,5,1,47,12
Real Madrid,2018–19,La Liga,36,21,6,4,—,—,8,4,3,1,53,30
Real Madrid,2019–20,La Liga,37,21,3,1,—,—,8,5,0,0,48,27
Real Madrid,2020–21,La Liga,34,23,1,0,—,—,10,6,1,1,46,30
Real Madrid,2021–22,La Liga,32,27,0,0,—,—,12,15,2,2,46,44
Real Madrid,2022–23,La Liga,24,19,5,4,—,—,10,4,4,4,43,31
Real Madrid,Total,Total,439,238,49,25,—,—,133,78,27,13,648,354
Al-Ittihad,2023–24,Saudi Pro League,21,9,1,1,—,—,3,0,8,6,33,16
Al-Ittihad,2024–25,Saudi Pro League,29,21,4,4,—,—,—,—,—,—,33,25
Al-Ittihad,2025–26,Saudi Pro League,2,3,0,0,—,—,0,0,1,0,3,3
Al-Ittihad,Total,Total,52,33,5,5,—,—,3,0,9,6,69,44
Career total,Career total,Career total,623,329,65,39,3,1,155,90,39,20,885,479
