# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,Cup Apps,Cup Goals,Continental Apps,Continental Goals,Other Apps,Other Goals,Total Apps,Total Goals,Unnamed: 13_level_0 Unnamed: 13_level_1
Vardar,1982–83,Yugoslav First League,4,3,,,—,—,—,—,4,3,
Vardar,1983–84,Yugoslav First League,31,19,,,—,—,—,—,31,19,
Vardar,1984–85,Yugoslav First League,31,20,,,—,—,—,—,31,20,
Vardar,1985–86,Yugoslav First League,26,12,,,3,2,—,—,29,14,
Vardar,1986–87,Yugoslav First League,29,17,,,—,—,—,—,29,17,
Vardar,1987–88,Yugoslav First League,30,13,,,2,0,—,—,32,13,
Vardar,Total,Total,151,84,,,5,2,—,—,156,86,
Red Star Belgrade,1988–89,Yugoslav First League,—,—,—,—,—,—,—,—,—,—,—
Red Star Belgrade,1989–90,Yugoslav First League,32,25,8,8,5,2,—,—,45,35,
Red Star Belgrade,1990–91,Yugoslav First League,32,34,7,6,9,5,—,—,48,45,
Red Star Belgrade,1991–92,Yugoslav First League,28,25,9,4,9,6,2,1,48,36,
Red Star Belgrade,Total,Total,92,84,24,18,23,13,2,1,141,116,
Inter Milan,1992–93,Serie A,12,1,4,5,—,—,—,—,16,6,
Inter Milan,1993–94,Serie A,0,0,0,0,0,0,—,—,0,0,
Inter Milan,1994–95,Serie A,7,2,5,2,1,0,—,—,13,4,
Inter Milan,Total,Total,19,3,9,7,1,0,—,—,29,10,
VfB Leipzig (loan),1993–94,Bundesliga,10,2,0,0,—,—,—,—,10,2,
Fortuna Düsseldorf,1995–96,Bundesliga,14,2,3,1,—,—,—,—,17,3,
Sion,1996–97,Nationalliga A,5,0,,,1,1,—,—,6,1,
Total,Total,Total,291,175,36,26,30,16,2,1,359,218,
