# List of international goals scored by Mohamed Salah
No.,Date,Venue,Cap,Opponent,Score,Result,Competition,Ref.
1,8 October 2011,"Cairo International Stadium, Cairo, Egypt",2,Niger,2–0,3–0,2012 Africa Cup of Nations qualification,
2,27 February 2012,"Thani bin Jassim Stadium, Doha, Qatar",3,Kenya,1–0,5–0,Friendly,
3,29 March 2012,"Khartoum Stadium, Khartoum, Sudan",6,Uganda,1–1,2–1,Friendly,
4,31 March 2012,"Khartoum Stadium, Khartoum, Sudan",7,Chad,1–0,4–0,Friendly,
5,22 May 2012,"Al-Merrikh Stadium, Omdurman, Sudan",10,Togo,2–0,3–0,Friendly,
6,22 May 2012,"Al-Merrikh Stadium, Omdurman, Sudan",10,Togo,3–0,3–0,Friendly,
7,10 June 2012,"Stade du 28 Septembre, Conakry, Guinea",12,Guinea,3–2,3–2,2014 FIFA World Cup qualification,
8,15 June 2012,"Borg El Arab Stadium, Alexandria, Egypt",13,Central African Republic,2–1,2–3,2013 Africa Cup of Nations qualification,
9,6 February 2013,"Vicente Calderón Stadium, Madrid, Spain",18,Chile,1–2,1–2,Friendly,
10,22 March 2013,"Borg El Arab Stadium, Alexandria, Egypt",19,Swaziland,2–0,10–0,Friendly,
11,22 March 2013,"Borg El Arab Stadium, Alexandria, Egypt",19,Swaziland,3–0,10–0,Friendly,
12,9 June 2013,"National Sports Stadium, Harare, Zimbabwe",21,Zimbabwe,2–1,4–2,2014 FIFA World Cup qualification,
13,9 June 2013,"National Sports Stadium, Harare, Zimbabwe",21,Zimbabwe,3–1,4–2,2014 FIFA World Cup qualification,
14,9 June 2013,"National Sports Stadium, Harare, Zimbabwe",21,Zimbabwe,4–2,4–2,2014 FIFA World Cup qualification,
15,16 June 2013,"Estádio da Machava, Maputo, Mozambique",22,Mozambique,1–0,1–0,2014 FIFA World Cup qualification,
16,14 August 2013,"El Gouna Stadium, El Gouna, Egypt",23,Uganda,2–0,3–0,Friendly,
17,10 September 2013,"El Gouna Stadium, El Gouna, Egypt",24,Guinea,3–2,4–2,2014 FIFA World Cup qualification,
18,5 March 2014,"Tivoli Stadion Tirol, Innsbruck, Austria",28,Bosnia and Herzegovina,2–0,2–0,Friendly,
19,30 May 2014,"Estadio Nacional Julio Martínez Prádanos, Santiago, Chile",29,Chile,1–0,2–3,Friendly,
20,10 October 2014,"Botswana National Stadium, Gaborone, Botswana",33,Botswana,2–0,2–0,2015 Africa Cup of Nations qualification,
