# Appearances and goals by national team, year and competition
Team,Year,Competitive Apps,Competitive Goals,Friendly Apps,Friendly Goals,Total Apps,Total Goals
Brazil U17,1997,13,3,–,–,13,3
Brazil U20,1998,–,–,3,2,3,2
Brazil U20,1999,14,6,–,–,14,6
Brazil U20,Total,14,6,3,2,17,8
Brazil U23,1999,–,–,4,1,4,1
Brazil U23,2000,11,10,4,4,15,14
Brazil U23,2008,6,2,2,1,8,3
Brazil U23,Total,17,12,10,6,27,18
Brazil,1999,9,7,4,0,13,7
Brazil,2000,4,0,1,1,5,1
Brazil,2001,2,0,2,1,4,1
Brazil,2002,5,2,5,2,10,4
Brazil,2003,4,1,4,1,8,2
Brazil,2004,5,1,5,5,10,6
Brazil,2005,10,5,2,1,12,6
Brazil,2006,5,0,4,0,9,0
Brazil,2007,4,1,7,4,11,5
Brazil,2008,2,0,–,–,2,0
Brazil,2009,2,0,1,0,3,0
Brazil,2010,–,–,1,0,1,0
Brazil,2011,–,–,5,1,5,1
Brazil,2012,–,–,1,0,1,0
Brazil,2013,–,–,3,0,3,0
Brazil,Total,52,17,45,16,97,33
Career total,Career total,96,38,58,24,154,62
