# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,DFB-Pokal Apps,DFB-Pokal Goals,Continental Apps,Continental Goals,Other Apps,Other Goals,Total Apps,Total Goals
TSV 1861 Nördlingen,1962–63,2. Amateurliga Schwaben,3,4,—,—,—,—,—,—,3,4
TSV 1861 Nördlingen,1963–64,Bezirksliga Schwaben,28,47,—,—,—,—,—,—,28,47
TSV 1861 Nördlingen,Total,Total,31,51,—,—,—,—,—,—,31,51
Bayern Munich,1964–65,Regionalliga Süd,26,33,—,—,—,—,8,8,34,41
Bayern Munich,1965–66,Bundesliga,33,14,6,1,—,—,—,—,39,15
Bayern Munich,1966–67,Bundesliga,32,28,4,7,9,8,—,—,45,43
Bayern Munich,1967–68,Bundesliga,34,20,4,4,8,7,—,—,46,31
Bayern Munich,1968–69,Bundesliga,30,30,5,7,—,—,—,—,35,37
Bayern Munich,1969–70,Bundesliga,33,38,3,4,2,0,—,—,38,42
Bayern Munich,1970–71,Bundesliga,32,22,7,10,8,7,—,—,47,39
Bayern Munich,1971–72,Bundesliga,34,40,6,5,8,5,—,—,48,50
Bayern Munich,1972–73,Bundesliga,33,36,5,7,6,11,5,12,49,66
Bayern Munich,1973–74,Bundesliga,34,30,4,5,10,8,—,—,48,43
Bayern Munich,1974–75,Bundesliga,33,23,3,2,7,5,—,—,43,30
Bayern Munich,1975–76,Bundesliga,22,23,6,7,6,5,1,0,35,35
Bayern Munich,1976–77,Bundesliga,25,28,4,11,4,5,4,4,37,48
Bayern Munich,1977–78,Bundesliga,33,24,3,4,6,4,—,—,42,32
Bayern Munich,1978–79,Bundesliga,19,9,2,4,—,—,—,—,21,13
Bayern Munich,Total,Total,453,398,62,78,74,65,18,24,607,565
Fort Lauderdale Strikers,1979,NASL,25,19,—,—,—,—,2,0,27,19
Fort Lauderdale Strikers,1980,NASL,29,14,—,—,—,—,7,2,36,16
Fort Lauderdale Strikers,1981,NASL,17,5,—,—,—,—,—,—,17,5
Fort Lauderdale Strikers,Total,Total,71,38,—,—,—,—,9,2,80,40
Career total,Career total,Career total,555,487,62,78,74,65,27,26,718,656
