# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,Copa del Rey Apps,Copa del Rey Goals,Europe Apps,Europe Goals,Other Apps,Other Goals,Total Apps,Total Goals
Real Sociedad,2009–10,Segunda División,39,6,1,0,—,—,—,—,40,6
Real Sociedad,2010–11,La Liga,37,7,2,0,—,—,—,—,39,7
Real Sociedad,2011–12,La Liga,35,7,3,1,—,—,—,—,38,8
Real Sociedad,2012–13,La Liga,34,10,1,1,—,—,—,—,35,11
Real Sociedad,2013–14,La Liga,35,16,7,3,8,1,—,—,50,20
Real Sociedad,Total,Total,180,46,14,5,8,1,—,—,202,52
Atlético Madrid,2014–15,La Liga,37,22,5,1,9,2,2,0,53,25
Atlético Madrid,2015–16,La Liga,38,22,3,3,13,7,—,—,54,32
Atlético Madrid,2016–17,La Liga,36,16,5,4,12,6,—,—,53,26
Atlético Madrid,2017–18,La Liga,32,19,3,2,14,8,—,—,49,29
Atlético Madrid,2018–19,La Liga,37,15,2,2,8,4,1,0,48,21
Atlético Madrid,Total,Total,180,94,18,12,56,27,3,0,257,133
Barcelona,2019–20,La Liga,35,9,3,3,9,2,1,1,48,15
Barcelona,2020–21,La Liga,36,13,6,3,7,2,2,2,51,20
Barcelona,2021–22,La Liga,3,0,—,—,—,—,—,—,3,0
Barcelona,Total,Total,74,22,9,6,16,4,3,3,102,35
Atlético Madrid (loan),2021–22,La Liga,26,3,1,1,9,4,—,—,36,8
Atlético Madrid,2022–23,La Liga,38,15,4,0,6,1,—,—,48,16
Atlético Madrid,2023–24,La Liga,33,16,4,1,10,6,1,1,48,24
Atlético Madrid,2024–25,La Liga,38,8,5,2,10,6,3,1,56,17
Atlético Madrid,2025–26,La Liga,7,1,0,0,1,0,0,0,8,1
Atlético Madrid,Total,Total,116,40,13,3,27,13,4,2,160,58
Career total,Career total,Career total,576,205,55,27,116,49,10,5,757,286
