# List of international goals scored by Kazimierz Deyna
No.,Date,Venue,Opponent,Score,Result,Competition
1,20 April 1969,"Kraków, Poland",Luxembourg,4–0,8–0,1970 FIFA World Cup qualification
2,20 April 1969,"Kraków, Poland",Luxembourg,5–0,8–0,1970 FIFA World Cup qualification
3,15 June 1969,"Sofia, Bulgaria",Bulgaria,1–2,1–4,1970 FIFA World Cup qualification
4,27 August 1969,"Łódź, Poland",Norway,3–0,6–1,Friendly
5,12 October 1969,"Luxembourg, Luxembourg",Luxembourg,1–1,5–1,1970 FIFA World Cup qualification
6,12 October 1969,"Luxembourg, Luxembourg",Luxembourg,5–1,5–1,1970 FIFA World Cup qualification
7,9 November 1969,"Warsaw, Poland",Bulgaria,3–0,3–0,1970 FIFA World Cup qualification
8,16 May 1970,"Kraków, Poland",East Germany,1–0,1–1,Friendly
9,2 September 1970,"Warsaw, Poland",Denmark,2–0,5–0,Friendly
10,5 May 1971,"Lausanne, Switzerland",Switzerland,3–1,4–2,Friendly
11,30 August 1972,"Regensburg, West Germany",Ghana,3–0,4–0,1972 Summer Olympics
12,3 September 1972,"Regensburg, West Germany",Denmark,1–1,1–1,1972 Summer Olympics
13,5 September 1972,"Augsburg, West Germany",Soviet Union,1–1,2–1,1972 Summer Olympics
14,8 September 1972,"Nürnberg, West Germany",Morocco,3–0,5–0,1972 Summer Olympics
15,8 September 1972,"Nürnberg, West Germany",Morocco,5–0,5–0,1972 Summer Olympics
16,10 September 1972,"Munich, West Germany",Hungary,1–1,2–1,1972 Summer Olympics
17,10 September 1972,"Munich, West Germany",Hungary,2–1,2–1,1972 Summer Olympics
18,15 October 1972,"Bydgoszcz, Poland",Czechoslovakia,1–0,3–0,Friendly
19,15 October 1972,"Bydgoszcz, Poland",Czechoslovakia,2–0,3–0,Friendly
20,10 October 1973,"Rotterdam, Netherlands",Netherlands,1–1,1–1,Friendly
21,17 April 1974,"Liège, Belgium",Belgium,1–1,1–1,Friendly
22,19 June 1974,"Munich, West Germany",Haiti,2–0,7–0,1974 FIFA World Cup
23,23 June 1974,"Stuttgart, West Germany",Italy,2–0,2–1,1974 FIFA World Cup
24,30 June 1974,"Frankfurt, West Germany",Yugoslavia,1–0,2–1,1974 FIFA World Cup
25,26 March 1975,"Poznań, Poland",United States,3–0,7–0,Friendly
26,26 March 1975,"Poznań, Poland",United States,6–0,7–0,Friendly
27,26 March 1975,"Poznań, Poland",United States,7–0,7–0,Friendly
28,6 July 1975,"Montreal, Canada",Canada,3–0,8–1,Friendly
29,6 July 1975,"Montreal, Canada",Canada,6–1,8–1,Friendly
30,9 July 1975,"Toronto, Canada",Canada,4–1,4–1,Friendly
31,22 July 1976,"Montreal, Canada",Iran,2–1,3–2,1976 Summer Olympics
32,31 October 1976,"Warsaw, Poland",Cyprus,1–0,5–0,1978 FIFA World Cup qualification
33,31 October 1976,"Warsaw, Poland",Cyprus,3–0,5–0,1978 FIFA World Cup qualification
34,10 July 1977,"Lima, Peru",Peru,2–0,3–1,Friendly
35,21 September 1977,"Chorzów, Poland",Denmark,3–0,4–1,1978 FIFA World Cup qualification
36,29 October 1977,"Chorzów, Poland",Portugal,1–0,1–1,1978 FIFA World Cup qualification
37,12 November 1977,"Wrocław, Poland",Sweden,2–1,2–1,Friendly
38,5 April 1978,"Poznań, Poland",Greece,2–0,5–2,Friendly
39,5 April 1978,"Poznań, Poland",Greece,4–0,5–2,Friendly
40,12 April 1978,"Łódź, Poland",Republic of Ireland,2–0,3–0,Friendly
41,10 June 1978,"Rosario, Argentina",Mexico,2–1,3–1,1978 FIFA World Cup
