# Table 1
Club,Season,League,League Apps,League Goals,Cup Apps,Cup Goals,Continental Apps,Continental Goals,Other Apps,Other Goals,Total Apps,Total Goals,.mw-parser-output .tooltip-dotted{border-bottom:1px dotted;cursor:help}Ref.
Bayern Munich,1969–70,Bundesliga,0,0,1,0,0,0,—,—,1,0,
Bayern Munich,1970–71,Bundesliga,31,6,6,0,7,1,—,—,44,7,
Bayern Munich,1971–72,Bundesliga,34,13,5,3,8,1,—,—,47,17,
Bayern Munich,1972–73,Bundesliga,34,17,6,3,6,2,—,—,46,22,
Bayern Munich,1973–74,Bundesliga,34,18,4,2,10,6,—,—,48,26,
Bayern Munich,1974–75,Bundesliga,28,8,3,1,7,3,—,—,38,12,
Bayern Munich,1975–76,Bundesliga,17,4,5,1,5,1,—,—,27,6,
Bayern Munich,1976–77,Bundesliga,27,9,4,4,8,0,2,0,41,13,
Bayern Munich,1977–78,Bundesliga,30,11,2,0,6,1,—,—,38,12,
Bayern Munich,1978–79,Bundesliga,4,0,2,0,—,—,—,—,6,0,
Bayern Munich,Totals,Totals,239,86,38,14,57,15,2,0,336,115,—
1. FC Nürnberg (loan),1978–79,Bundesliga,11,0,1,0,—,—,—,—,12,0,
Career totals,Career totals,Career totals,250,86,39,14,57,15,2,0,348,115,—
