# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,League cup Apps,League cup Goals,Europe Apps,Europe Goals,Total Apps,Total Goals
Stuttgarter Kickers,1981–82,2. Bundesliga,6,1,0,0,–,–,–,–,6,1
Stuttgarter Kickers,1982–83,2. Bundesliga,20,2,2,1,–,–,–,–,22,3
Stuttgarter Kickers,1983–84,2. Bundesliga,35,19,2,2,–,–,–,–,37,21
Stuttgarter Kickers,Total,Total,61,22,4,3,–,–,–,–,65,25
VfB Stuttgart,1984–85,Bundesliga,32,15,4,2,–,–,2,0,38,17
VfB Stuttgart,1985–86,Bundesliga,33,16,6,4,–,–,–,–,39,20
VfB Stuttgart,1986–87,Bundesliga,32,16,1,2,–,–,4,1,37,19
VfB Stuttgart,1987–88,Bundesliga,34,19,1,0,–,–,–,–,35,19
VfB Stuttgart,1988–89,Bundesliga,25,13,4,2,–,–,8,4,37,19
VfB Stuttgart,Total,Total,156,79,16,10,–,–,14,5,186,94
Inter Milan,1989–90,Serie A,31,13,4,2,–,–,2,0,37,15
Inter Milan,1990–91,Serie A,33,14,4,0,–,–,12,3,49,17
Inter Milan,1991–92,Serie A,31,7,5,1,–,–,1,0,37,8
Inter Milan,Total,Total,95,34,13,3,–,–,15,3,123,40
Monaco,1992–93,Division 1,35,20,2,0,–,–,4,0,41,20
Monaco,1993–94,Division 1,30,10,3,2,–,–,10,4,43,16
Monaco,Total,Total,65,30,5,2,–,–,14,4,84,36
Tottenham Hotspur,1994–95,Premier League,41,20,6,5,3,4,–,–,50,29
Bayern Munich,1995–96,Bundesliga,32,16,1,0,–,–,12,15,45,31
Bayern Munich,1996–97,Bundesliga,33,15,4,2,–,–,2,0,39,17
Bayern Munich,Total,Total,65,31,5,2,–,–,14,15,84,48
Sampdoria,1997–98,Serie A,8,2,1,0,–,–,1,0,10,2
Tottenham Hotspur (loan),1997–98,Premier League,15,9,3,0,0,0,–,–,18,9
Career total,Career total,Career total,506,227,53,25,3,4,58,27,620,284
