# Table 1
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,League cup Apps,League cup Goals,Continental Apps,Continental Goals,Other Apps,Other Goals,Total Apps,Total Goals
River Plate,2003–04,Primera División,21,0,—,—,—,—,13,0,—,—,34,0
River Plate,2004–05,Primera División,25,0,—,—,—,—,12,1,—,—,37,1
River Plate,Total,Total,46,0,—,—,—,—,25,1,—,—,71,1
Corinthians,2005,Série A,7,0,0,0,—,—,0,0,1,0,8,0
Corinthians,2006,Série A,10,0,2,0,—,—,5,0,8,0,25,0
Corinthians,Total,Total,17,0,2,0,—,—,5,0,9,0,33,0
West Ham United,2006–07,Premier League,5,0,0,0,0,0,2,0,—,—,7,0
Liverpool,2006–07,Premier League,7,0,0,0,0,0,4,0,—,—,11,0
Liverpool,2007–08,Premier League,25,1,2,0,1,0,13,0,—,—,41,1
Liverpool,2008–09,Premier League,27,0,3,0,0,0,8,0,—,—,38,0
Liverpool,2009–10,Premier League,34,0,0,0,1,0,13,1,—,—,48,1
Liverpool,2010–11,Premier League,1,0,—,—,—,—,—,—,—,—,1,0
Liverpool,Total,Total,94,1,5,0,2,0,38,1,—,—,139,2
Barcelona,2010–11,La Liga,27,0,7,0,—,—,11,0,—,—,45,0
Barcelona,2011–12,La Liga,31,0,6,0,—,—,10,0,5,0,52,0
Barcelona,2012–13,La Liga,25,0,6,0,—,—,8,0,2,0,41,0
Barcelona,2013–14,La Liga,28,0,7,0,—,—,9,0,2,0,46,0
Barcelona,2014–15,La Liga,28,0,7,0,—,—,12,0,—,—,47,0
Barcelona,2015–16,La Liga,32,0,6,0,—,—,8,0,5,0,51,0
Barcelona,2016–17,La Liga,25,1,5,0,—,—,8,0,2,0,40,1
Barcelona,2017–18,La Liga,7,0,2,0,—,—,2,0,1,0,12,0
Barcelona,Total,Total,203,1,46,0,—,—,68,0,17,0,334,1
Hebei China Fortune,2018,Chinese Super League,26,0,1,1,—,—,—,—,—,—,27,1
Hebei China Fortune,2019,Chinese Super League,27,0,0,0,—,—,—,—,—,—,27,0
Hebei China Fortune,Total,Total,53,0,1,1,—,—,—,—,—,—,54,1
Estudiantes,2019–20,Primera División,7,0,1,0,—,—,—,—,—,—,8,0
Estudiantes,2020–21,Primera División,3,0,—,—,—,—,—,—,—,—,3,0
Estudiantes,Total,Total,10,0,1,0,—,—,—,—,—,—,11,0
Career total,Career total,Career total,428,2,55,1,2,0,138,2,26,0,649,5
