# List of international goals scored by Bruno Fernandes
No.,Date,Venue,Opponent,Score,Result,Competition
1,7 June 2018,"Estádio da Luz, Lisbon, Portugal",Algeria,2–0,3–0,Friendly
2,17 November 2019,"Stade Josy Barthel, Luxembourg City, Luxembourg",Luxembourg,1–0,2–0,UEFA Euro 2020 qualifying
3,9 June 2021,"Estádio José Alvalade, Lisbon, Portugal",Israel,1–0,4–0,Friendly
4,9 June 2021,"Estádio José Alvalade, Lisbon, Portugal",Israel,4–0,4–0,Friendly
5,4 September 2021,"Nagyerdei Stadion, Debrecen, Hungary",Qatar,3–1,3–1,Friendly
6,12 October 2021,"Estádio Algarve, Faro/Loulé, Portugal",Luxembourg,3–0,5–0,2022 FIFA World Cup qualification
7,29 March 2022,"Estádio do Dragão, Porto, Portugal",North Macedonia,1–0,2–0,2022 FIFA World Cup qualification
8,29 March 2022,"Estádio do Dragão, Porto, Portugal",North Macedonia,2–0,2–0,2022 FIFA World Cup qualification
9,24 September 2022,"Fortuna Arena, Prague, Czech Republic",Czech Republic,2–0,4–0,2022–23 UEFA Nations League A
10,17 November 2022,"Estádio José Alvalade, Lisbon, Portugal",Nigeria,1–0,4–0,Friendly
11,17 November 2022,"Estádio José Alvalade, Lisbon, Portugal",Nigeria,2–0,4–0,Friendly
12,28 November 2022,"Lusail Stadium, Lusail, Qatar",Uruguay,1–0,2–0,2022 FIFA World Cup
13,28 November 2022,"Lusail Stadium, Lusail, Qatar",Uruguay,2–0,2–0,2022 FIFA World Cup
14,17 June 2023,"Estádio da Luz, Lisbon, Portugal",Bosnia and Herzegovina,2–0,3–0,UEFA Euro 2024 qualifying
15,17 June 2023,"Estádio da Luz, Lisbon, Portugal",Bosnia and Herzegovina,3–0,3–0,UEFA Euro 2024 qualifying
16,8 September 2023,"Tehelné pole, Bratislava, Slovakia",Slovakia,1–0,1–0,UEFA Euro 2024 qualifying
17,11 September 2023,"Estádio Algarve, Faro/Loulé, Portugal",Luxembourg,8–0,9–0,UEFA Euro 2024 qualifying
18,16 October 2023,"Bilino Polje Stadium, Zenica, Bosnia and Herzegovina",Bosnia and Herzegovina,3–0,5–0,UEFA Euro 2024 qualifying
19,19 November 2023,"Estádio José Alvalade, Lisbon, Portugal",Iceland,1–0,2–0,UEFA Euro 2024 qualifying
20,21 March 2024,"Estádio D. Afonso Henriques, Guimarães, Portugal",Sweden,3–0,5–2,Friendly
21,4 June 2024,"Estádio José Alvalade, Lisbon, Portugal",Finland,3–0,4–2,Friendly
22,4 June 2024,"Estádio José Alvalade, Lisbon, Portugal",Finland,4–2,4–2,Friendly
23,22 June 2024,"Westfalenstadion, Dortmund, Germany",Turkey,3–0,3–0,UEFA Euro 2024
24,8 September 2024,"Estádio da Luz, Lisbon, Portugal",Scotland,1–1,2–1,2024–25 UEFA Nations League A
25,15 November 2024,"Estádio do Dragão, Porto, Portugal",Poland,3–0,5–1,2024–25 UEFA Nations League A
