# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,League cup Apps,League cup Goals,Europe Apps,Europe Goals,Other Apps,Other Goals,Total Apps,Total Goals
RBC,1989–90,Eerste Divisie,32,6,,,–,–,–,–,–,–,32,6
RBC,1990–91,Eerste Divisie,37,27,,,–,–,–,–,–,–,37,27
RBC,Total,Total,69,33,,,–,–,–,–,–,–,69,33
NAC,1991–92,Eerste Divisie,35,20,,,–,–,–,–,–,–,35,20
NAC,1992–93,Eerste Divisie,33,26,,,–,–,–,–,–,–,33,26
NAC,1993–94,Eredivisie,31,25,,,–,–,–,–,–,–,31,25
NAC,1994–95,Eredivisie,16,10,,,–,–,–,–,–,–,16,10
NAC,Total,Total,115,81,,,–,–,–,–,–,–,115,81
Celtic,1994–95,Scottish Premier Division,14,4,5.0,4.0,0,0,–,–,–,–,19,8
Celtic,1995–96,Scottish Premier Division,34,26,4.0,4.0,3,2,3,0,–,–,44,32
Celtic,1996–97,Scottish Premier Division,21,14,2.0,1.0,2,1,4,0,–,–,29,16
Celtic,Total,Total,69,44,11.0,9.0,5,3,7,0,–,–,92,56
Nottingham Forest,1996–97,Premier League,8,1,0.0,0.0,0,0,–,–,–,–,8,1
Nottingham Forest,1997–98,First Division,42,29,1.0,1.0,4,4,–,–,–,–,47,34
Nottingham Forest,1998–99,Premier League,21,6,0.0,0.0,1,0,–,–,–,–,22,6
Nottingham Forest,Total,Total,71,36,1.0,1.0,5,4,–,–,–,–,77,41
Vitesse,1999–2000,Eredivisie,29,25,3.0,1.0,–,–,4,2,–,–,36,28
Benfica,2000–01,Primeira Liga,30,19,3.0,2.0,–,–,2,2,–,–,35,23
Feyenoord,2001–02,Eredivisie,33,24,2.0,0.0,–,–,12,9,–,–,47,33
Feyenoord,2002–03,Eredivisie,28,28,4.0,0.0,–,–,5,1,1,1,38,30
Feyenoord,Total,Total,61,52,6.0,0.0,–,–,17,10,1,1,85,63
Fenerbahçe,2003–04,Süper Lig,34,24,3.0,1.0,–,–,–,–,–,–,37,25
Fenerbahçe,2004–05,Süper Lig,19,8,2.0,1.0,–,–,5,1,–,–,26,10
Fenerbahçe,Total,Total,53,32,5.0,2.0,–,–,5,1,–,–,63,35
NAC Breda,2005–06,Eredivisie,17,5,3.0,3.0,–,–,–,–,–,–,20,8
Feyenoord,2005–06,Eredivisie,11,3,0.0,0.0,–,–,0,0,1,0,12,3
Feyenoord,2006–07,Eredivisie,26,5,2.0,0.0,–,–,4,0,2,1,34,6
Feyenoord,Total,Total,37,8,2.0,0.0,–,–,4,0,3,1,46,9
Career total,Career total,Career total,551,335,34.0,18.0,10,7,39,15,4,2,638,377
