# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,Cup Apps,Cup Goals,Continental Apps,Continental Goals,Other Apps,Other Goals,Total Apps,Total Goals
Vasco da Gama,1992,Série A,0,0,0,0,0,0,2,1,2,1
Vasco da Gama,1993,Série A,2,0,3,0,0,0,18,9,23,9
Vasco da Gama,1994,Série A,13,3,7,3,0,0,14,4,34,10
Vasco da Gama,Total,Total,15,3,10,3,0,0,34,14,59,20
Grêmio (loan),1995,Série A,13,10,13,6,14,12,24,14,64,42
Grêmio (loan),1996,Série A,0,0,5,1,7,5,17,8,29,14
Grêmio (loan),Total,Total,13,10,18,7,21,17,41,22,93,55
Porto,1996–97,Primeira Liga,31,30,6,3,8,4,1,0,46,37
Porto,1997–98,Primeira Liga,30,26,3,10,5,3,2,0,40,39
Porto,1998–99,Primeira Liga,32,36,0,0,6,2,1,0,39,38
Porto,1999–2000,Primeira Liga,32,37,4,6,13,10,1,2,50,55
Porto,Total,Total,125,129,13,19,32,19,5,2,175,169
Galatasaray,2000–01,Süper Lig,24,22,2,1,16,9,1,2,43,34
Sporting CP,2001–02,Primeira Liga,30,42,6,7,6,6,0,0,42,55
Sporting CP,2002–03,Primeira Liga,19,11,1,1,0,0,0,0,20,12
Sporting CP,Total,Total,49,53,7,8,6,6,0,0,62,67
Bolton Wanderers,2003–04,Premier League,7,0,5,3,0,0,0,0,12,3
Ancona (loan),2003–04,Serie A,3,0,0,0,0,0,0,0,3,0
Newell's Old Boys,2004–05,Argentine Primera División,3,3,0,0,0,0,0,0,3,3
Goiás,2006,Série A,4,1,0,0,0,0,0,0,4,1
Beira-Mar,2006–07,Primeira Liga,12,3,1,1,0,0,0,0,13,4
Anorthosis Famagusta,2006–07,Cypriot First Division,7,2,0,0,0,0,0,0,7,2
Newcastle Jets,2007–08,A-League,11,0,0,0,0,0,0,0,11,0
Criciúma,2008,Série B,16,4,0,0,0,0,0,0,16,4
Ferroviário,2009,Série D,6,5,0,0,0,0,0,0,6,5
América,2009,Série C (CE),11,8,0,0,0,0,0,0,11,8
Flamengo (PI),2010,Série D,16,12,0,0,0,0,0,0,16,12
Cherno More,2010–11,Bulgarian First League,8,1,0,0,0,0,0,0,8,1
Rio Negro,2011,Amazonense,0,0,0,0,0,0,0,0,0,0
Career total,Career total,Career total,343,264,56,42,75,51,81,40,542,389
