# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,Cup1 Apps,Cup1 Goals,Continental2 Apps,Continental2 Goals,Other3 Apps,Other3 Goals,Total Apps,Total Goals,.mw-parser-output .tooltip-dotted{border-bottom:1px dotted;cursor:help}Ref.
Groningen,2000–01,Eredivisie,18,2,0,0,—,—,—,—,18,2,
Groningen,2001–02,Eredivisie,28,6,6,4,—,—,—,—,34,10,
Groningen,Total,Total,46,8,6,4,—,—,—,—,52,12,—
PSV,2002–03,Eredivisie,33,12,3,0,4,1,1,0,41,13,
PSV,2003–04,Eredivisie,23,5,2,0,8,2,1,1,34,8,
PSV,Total,Total,56,17,5,0,12,3,2,1,75,21,—
Chelsea,2004–05,Premier League,18,7,2,0,5,1,4,1,29,9,
Chelsea,2005–06,Premier League,28,6,4,1,6,0,2,0,40,7,
Chelsea,2006–07,Premier League,21,2,4,0,8,1,4,0,37,3,
Chelsea,Total,Total,67,15,10,1,19,2,10,1,106,19,—
Real Madrid,2007–08,La Liga,21,4,2,1,5,0,0,0,28,5,
Real Madrid,2008–09,La Liga,29,7,0,0,6,1,2,0,37,8,
Real Madrid,Total,Total,50,11,2,1,11,1,2,0,65,13,—
Bayern Munich,2009–10,Bundesliga,24,16,3,3,10,4,—,—,37,23,
Bayern Munich,2010–11,Bundesliga,14,12,2,1,2,0,0,0,18,13,
Bayern Munich,2011–12,Bundesliga,24,12,3,2,9,5,—,—,36,19,
Bayern Munich,2012–13,Bundesliga,16,5,5,4,9,4,1,0,31,13,
Bayern Munich,2013–14,Bundesliga,28,11,5,4,10,4,2,2,45,21,
Bayern Munich,2014–15,Bundesliga,21,17,2,0,7,2,0,0,30,19,
Bayern Munich,2015–16,Bundesliga,15,4,3,0,3,2,1,1,22,7,
Bayern Munich,2016–17,Bundesliga,26,13,3,0,8,3,0,0,37,16,
Bayern Munich,2017–18,Bundesliga,21,5,4,2,9,0,0,0,34,7,
Bayern Munich,2018–19,Bundesliga,12,4,2,0,4,2,1,0,19,6,
Bayern Munich,Total,Total,201,99,32,16,71,26,5,3,309,144,—
Groningen,2020–21,Eredivisie,6,0,0,0,—,—,1,0,7,0,—
Career total,Career total,Career total,426,150,55,22,113,32,20,5,614,209,—
