# List of international goals scored by Mesut Özil
No.,Date,Venue,Opponent,Score,Result,Competition
1,5 September 2009,"BayArena, Leverkusen, Germany",South Africa,2–0,2–0,Friendly
2,23 June 2010,"Soccer City, Johannesburg, South Africa",Ghana,1–0,1–0,2010 FIFA World Cup
3,8 October 2010,"Olympic Stadium, Berlin, Germany",Turkey,2–0,3–0,UEFA Euro 2012 qualification
4,7 June 2011,"Tofiq Bahramov Stadium, Baku, Azerbaijan",Azerbaijan,1–0,3–1,UEFA Euro 2012 qualification
5,2 September 2011,"Veltins-Arena, Gelsenkirchen, Germany",Austria,2–0,6–2,UEFA Euro 2012 qualification
6,2 September 2011,"Veltins-Arena, Gelsenkirchen, Germany",Austria,4–1,6–2,UEFA Euro 2012 qualification
7,11 October 2011,"Esprit Arena, Düsseldorf, Germany",Belgium,1–0,3–1,UEFA Euro 2012 qualification
8,15 November 2011,"Volksparkstadion, Hamburg, Germany",Netherlands,3–0,3–0,Friendly
9,28 June 2012,"National Stadium, Warsaw, Poland",Italy,1–2,1–2,UEFA Euro 2012
10,7 September 2012,"AWD-Arena, Hanover, Germany",Faroe Islands,2–0,3–0,2014 FIFA World Cup qualification
11,7 September 2012,"AWD-Arena, Hanover, Germany",Faroe Islands,3–0,3–0,2014 FIFA World Cup qualification
12,11 September 2012,"Ernst-Happel-Stadion, Vienna, Austria",Austria,2–0,2–1,2014 FIFA World Cup qualification
13,12 October 2012,"Aviva Stadium, Dublin, Ireland",Republic of Ireland,3–0,6–1,2014 FIFA World Cup qualification
14,16 October 2012,"Olympic Stadium, Berlin, Germany",Sweden,4–0,4–4,2014 FIFA World Cup qualification
15,10 September 2013,"Tórsvøllur, Tórshavn, Faroe Islands",Faroe Islands,2–0,3–0,2014 FIFA World Cup qualification
16,11 October 2013,"Rhein-Energie Stadion, Cologne, Germany",Republic of Ireland,3–0,3–0,2014 FIFA World Cup qualification
17,15 October 2013,"Friends Arena, Solna, Sweden",Sweden,1–2,5–3,2014 FIFA World Cup qualification
18,30 June 2014,"Estádio Beira-Rio, Porto Alegre, Brazil",Algeria,2–0,2–1,2014 FIFA World Cup
19,29 March 2016,"Allianz Arena, Munich, Germany",Italy,4–0,4–1,Friendly
20,2 July 2016,"Nouveau Stade de Bordeaux, Bordeaux, France",Italy,1–0,1–1,UEFA Euro 2016
21,31 August 2016,"Borussia-Park, Mönchengladbach, Germany",Finland,2–0,2–0,Friendly
22,4 September 2017,"Mercedes-Benz Arena, Stuttgart, Germany",Norway,1–0,6–0,2018 FIFA World Cup qualification
23,2 June 2018,"Wörtherseestadion, Klagenfurt, Austria",Austria,1–0,1–2,Friendly
