# Table 1
Club performance Season Peru,Club performance Club Peru,Club performance League Peru,League Apps League,League Goals League,Cup Apps Cup,Cup Goals Cup,Continental Apps South America,Continental Goals South America,Total Apps Total,Total Goals Total
1964,Deportivo Municipal,Primera División Peruana,0,0,-,-,-,-,,
1965,Deportivo Municipal,Primera División Peruana,,,-,-,-,-,,
1966,Universitario,Primera División Peruana,,,-,-,10,2,,
1967,Universitario,Primera División Peruana,,,-,-,13,3,,
1968,Universitario,Primera División Peruana,,,-,-,10,1,,
1969,Universitario,Primera División Peruana,,,-,-,,,,
1970,Universitario,Primera División Peruana,,,-,-,8,0,,
1971,Universitario,Primera División Peruana,,,-,-,8,1,,
1972,Universitario,Primera División Peruana,,,-,-,7,0,,
1973,Universitario,Primera División Peruana,,,-,-,2,0,,
1974,Universitario,Primera División Peruana,,,-,-,,,,
1975,Universitario,Primera División Peruana,,,-,-,,,,
Mexico,Mexico,Mexico,League,League,Copa México,Copa México,North America,North America,Total,Total
1975–76,Atlas,Primera División,,,,,,,,
1976–77,Atlas,Primera División,,,-,-,,,,
Peru,Peru,Peru,League,League,Cup,Cup,South America,South America,Total,Total
1977,Sporting Cristal,Primera División Peruana,,,-,-,,,,
1978,Sporting Cristal,Primera División Peruana,,,-,-,4,0,,
1979,Sporting Cristal,Primera División Peruana,,,-,-,,,,
1980,Sporting Cristal,Primera División Peruana,,,-,-,6,1,,
1981,Sporting Cristal,Primera División Peruana,,,-,-,6,1,,
1982,Sporting Cristal,Primera División Peruana,,,-,-,,,,
1983,Sporting Cristal,Primera División Peruana,,,-,-,,,,
Total,Peru,Peru,404,60,0,0,74,9,478,69
Total,Mexico,Mexico,52,5,0,0,0,0,52,5
Career total,Career total,Career total,456,65,0,0,74,9,530,74
