# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,League cup Apps,League cup Goals,Europe Apps,Europe Goals,Other Apps,Other Goals,Total Apps,Total Goals
AIK,1989,Allsvenskan,1,0,–,–,–,–,–,–,–,–,1,0
AIK,1990,Allsvenskan,14,0,2,0,–,–,–,–,–,–,16,0
AIK,1991,Allsvenskan,16,0,5,0,–,–,–,–,10,0,31,0
AIK,1992,Allsvenskan,0,0,–,–,–,–,–,–,–,–,–,–
AIK,1993,Allsvenskan,7,0,2,0,–,–,2,0,–,–,11,0
AIK,1994,Allsvenskan,23,0,1,0,–,–,6,0,–,–,30,0
AIK,1995,Allsvenskan,19,0,4,0,–,–,–,–,–,–,23,0
AIK,1996,Allsvenskan,23,5,4,0,–,–,3,0,–,–,30,5
AIK,1997,Allsvenskan,7,1,3,1,–,–,4,0,–,–,14,2
AIK,1998,Allsvenskan,24,2,5,1,–,–,–,–,–,–,29,3
AIK,Total,Total,134,8,26,2,–,–,15,0,10,0,185,10
Celtic,1998–99,Scottish Premier League,17,1,,,,,–,–,–,–,17,1
Celtic,1999–2000,Scottish Premier League,29,2,,,,,2,1,–,–,31,3
Celtic,2000–01,Scottish Premier League,35,4,,,,,6,0,–,–,41,4
Celtic,2001–02,Scottish Premier League,35,3,,,,,10,0,–,–,45,3
Celtic,2002–03,Scottish Premier League,14,3,,,,,7,0,–,–,21,3
Celtic,2003–04,Scottish Premier League,13,0,,,,,3,0,–,–,16,0
Celtic,Total,Total,143,13,,,,,28,1,–,–,171,14
Levante,2004–05,La Liga,3,0,–,–,–,–,–,–,–,–,3,0
AIK,2006,Allsvenskan,1,0,–,–,–,–,–,–,–,–,1,0
Career total,Career total,Career total,281,21,26,2,,,43,1,10,0,360,24
