# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,Continental Apps,Continental Goals,Other Apps,Other Goals,Total Apps,Total Goals
União São João,1991,Série B,–,–,–,–,–,–,24,1,24,1
União São João,1992,Série B,21,3,–,–,–,–,21,1,42,4
União São João,Total,Total,21,3,–,–,–,–,45,2,66,5
Palmeiras,1993,Série A,20,1,5,0,–,–,40,5,65,6
Palmeiras,1994,Série A,24,2,3,0,6,1,27,0,60,3
Palmeiras,1995,Série A,0,0,4,1,10,3,23,3,37,7
Palmeiras,Total,Total,44,3,12,1,16,4,90,8,162,16
Inter Milan,1995–96,Serie A,30,5,2,1,2,1,–,–,34,7
Real Madrid,1996–97,La Liga,37,5,5,0,–,–,–,–,42,5
Real Madrid,1997–98,La Liga,35,4,1,1,9,2,2,0,47,7
Real Madrid,1998–99,La Liga,35,5,4,0,8,0,2,0,49,5
Real Madrid,1999–2000,La Liga,35,4,3,0,17,4,3,0,58,8
Real Madrid,2000–01,La Liga,36,5,0,0,14,4,2,1,52,10
Real Madrid,2001–02,La Liga,31,3,6,1,13,2,2,0,52,5
Real Madrid,2002–03,La Liga,37,5,1,0,15,1,2,1,55,7
Real Madrid,2003–04,La Liga,32,5,7,1,8,2,2,0,49,9
Real Madrid,2004–05,La Liga,34,3,2,0,10,1,–,–,46,4
Real Madrid,2005–06,La Liga,35,5,3,1,7,0,–,–,45,6
Real Madrid,2006–07,La Liga,23,3,1,0,8,0,–,–,32,3
Real Madrid,Total,Total,370,47,33,4,109,16,15,2,527,69
Fenerbahçe,2007–08,Süper Lig,22,2,3,0,9,0,1,0,35,2
Fenerbahçe,2008–09,Süper Lig,32,4,8,2,10,1,–,–,50,7
Fenerbahçe,2009–10,Süper Lig,11,0,0,0,8,1,–,–,19,1
Fenerbahçe,Total,Total,65,6,11,2,27,2,1,0,104,10
Corinthians,2010,Série A,35,1,–,–,8,0,14,3,57,4
Corinthians,2011,Série A,0,0,–,–,1,0,3,1,4,1
Corinthians,Total,Total,35,1,0,0,9,0,17,4,61,5
Anzhi,2011–12,Russian Premier League,25,4,3,1,–,–,–,–,28,5
Delhi Dynamos,2015,Indian Super League,3,0,–,–,–,–,–,–,3,0
Career total,Career total,Career total,593,69,61,9,163,23,168,16,985,117
