# List of international goals scored by Toni Kroos
No.,Date,Venue,Opponent,Score,Result,Competition
1,6 September 2011,"Stadion Gdańsk, Gdańsk, Poland",Poland,1–1,2–2,Friendly
2,11 November 2011,"Olimpiyskiy National Sports Complex, Kyiv, Ukraine",Ukraine,1–2,3–3,Friendly
3,12 October 2012,"Aviva Stadium, Dublin, Ireland",Republic of Ireland,5–0,6–1,2014 FIFA World Cup qualification
4,12 October 2012,"Aviva Stadium, Dublin, Ireland",Republic of Ireland,6–0,6–1,2014 FIFA World Cup qualification
5,6 September 2013,"Allianz Arena, Munich, Germany",Austria,2–0,3–0,2014 FIFA World Cup qualification
6,8 July 2014,"Mineirão, Belo Horizonte, Brazil",Brazil,3–0,7–1,2014 FIFA World Cup
7,8 July 2014,"Mineirão, Belo Horizonte, Brazil",Brazil,4–0,7–1,2014 FIFA World Cup
8,14 October 2014,"Arena AufSchalke, Gelsenkirchen, Germany",Republic of Ireland,1–0,1–1,UEFA Euro 2016 qualification
9,18 November 2014,"Balaídos, Vigo, Spain",Spain,1–0,1–0,Friendly
10,26 March 2016,"Olympiastadion, Berlin, Germany",England,1–0,2–3,Friendly
11,29 March 2016,"Allianz Arena, Munich, Germany",Italy,1–0,4–1,Friendly
12,8 October 2016,"Volksparkstadion, Hamburg, Germany",Czech Republic,2–0,3–0,2018 FIFA World Cup qualification
13,23 June 2018,"Fisht Olympic Stadium, Sochi, Russia",Sweden,2–1,2–1,2018 FIFA World Cup
14,16 October 2018,"Stade de France, Saint-Denis, France",France,1–0,1–2,2018–19 UEFA Nations League A
15,6 September 2019,"Volksparkstadion, Hamburg, Germany",Netherlands,2–2,2–4,UEFA Euro 2020 qualification
16,16 November 2019,"Borussia-Park, Mönchengladbach, Germany",Belarus,3–0,4–0,UEFA Euro 2020 qualification
17,16 November 2019,"Borussia-Park, Mönchengladbach, Germany",Belarus,4–0,4–0,UEFA Euro 2020 qualification
