# List of international goals scored by Ruud Gullit
No.,Date,Venue,Opponent,Score,Result,Competition
1,22 September 1982,"De Kuip, Rotterdam, Netherlands",Republic of Ireland,2–0,2–1,UEFA Euro 1984 qualification
2,7 September 1983,"Stadion Oosterpark, Groningen, Netherlands",Iceland,2–0,3–0,UEFA Euro 1984 qualification
3,12 October 1983,"Dalymount Park, Dublin, Republic of Ireland",Republic of Ireland,1–2,3–2,UEFA Euro 1984 qualification
4,12 October 1983,"Dalymount Park, Dublin, Republic of Ireland",Republic of Ireland,3–2,3–2,UEFA Euro 1984 qualification
5,16 November 1983,"De Kuip, Rotterdam, Netherlands",Spain,2–1,2–1,UEFA Euro 1984 qualification
6,21 December 1986,"Tsirion Stadium, Limassol, Cyprus",Cyprus,1–0,2–0,UEFA Euro 1988 qualification
7,21 January 1987,"Camp Nou, Barcelona, Spain",Spain,1–0,1–1,Friendly
8,29 April 1987,"De Kuip, Rotterdam, Netherlands",Hungary,1–0,2–0,UEFA Euro 1988 qualification
9,14 October 1987,"Górnik Stadium, Zabrze, Poland",Poland,1–0,2–0,UEFA Euro 1988 qualification
10,14 October 1987,"Górnik Stadium, Zabrze, Poland",Poland,2–0,2–0,UEFA Euro 1988 qualification
11,28 October 1987,"De Kuip, Rotterdam, Netherlands",Cyprus,2–0,8–0,UEFA Euro 1988 qualification
12,25 June 1988,"Olympiastadion, Munich, Germany",Soviet Union,1–0,2–0,UEFA Euro 1988
13,14 September 1988,"Olympic Stadium, Amsterdam, Netherlands",Wales,1–0,1–0,1990 FIFA World Cup qualification
14,21 June 1990,"Stadio La Favorita, Palermo, Italy",Republic of Ireland,1–0,1–1,1990 FIFA World Cup
15,17 April 1991,"De Kuip, Rotterdam, Netherlands",Finland,2–0,2–0,UEFA Euro 1992 qualification
16,27 May 1992,"De Baandert, Sittard-Geleen, Netherlands",Austria,3–1,3–2,Friendly
17,16 December 1992,"İnönü Stadium, Istanbul, Turkey",Turkey,2–0,3–1,1994 FIFA World Cup qualification
