# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,Cup Apps,Cup Goals,Continental Apps,Continental Goals,Other Apps,Other Goals,Total Apps,Total Goals
Reipas Lahti,1987,Mestaruussarja,9,0,1.0,0.0,—,—,—,—,10,0
Reipas Lahti,1988,Mestaruussarja,26,8,4.0,0.0,—,—,—,—,30,8
Reipas Lahti,1989,Mestaruussarja,25,6,4.0,2.0,—,—,—,—,29,8
Reipas Lahti,1990,Veikkausliiga,26,14,3.0,0.0,—,—,—,—,29,14
Reipas Lahti,Total,Total,86,28,12.0,2.0,0,0,0,0,98,30
HJK Helsinki,1991,Veikkausliiga,27,16,0.0,0.0,2,0,—,—,29,16
MyPa,1992,Veikkausliiga,18,7,6.0,4.0,—,—,—,—,24,11
Ajax,1992–93,Eredivisie,12,1,1.0,0.0,1,0,0,0,14,1
Ajax,1993–94,Eredivisie,30,26,3.0,4.0,5,4,1,2,39,36
Ajax,1994–95,Eredivisie,27,17,4.0,2.0,11,6,1,1,43,26
Ajax,1995–96,Eredivisie,26,14,2.0,0.0,12,9,0,0,40,23
Ajax,1996–97,Eredivisie,16,6,1.0,0.0,7,2,1,0,25,8
Ajax,1997–98,Eredivisie,25,16,3.0,4.0,6,2,0,0,34,22
Ajax,1998–99,Eredivisie,23,11,5.0,1.0,4,1,1,0,33,13
Ajax,Total,Total,159,91,19.0,11.0,46,24,4,3,228,129
Barcelona,1999–2000,La Liga,21,3,2.0,1.0,8,0,1,0,32,4
Barcelona,2000–01,La Liga,0,0,0.0,0.0,0,0,—,—,0,0
Barcelona,Total,Total,21,3,2.0,1.0,8,0,1,0,32,4
Liverpool,2000–01,Premier League,5,1,2.0,1.0,2,0,2,0,11,2
Liverpool,2001–02,Premier League,21,4,1.0,0.0,9,3,1,0,32,7
Liverpool,Total,Total,26,5,3.0,1.0,11,3,3,0,43,9
Ajax,2002–03,Eredivisie,14,5,1.0,0.0,7,2,0,0,22,7
Ajax,2003–04,Eredivisie,6,0,0.0,0.0,3,0,0,0,9,0
Ajax,Total,Total,20,5,1.0,0.0,10,2,0,0,31,7
Lahti,2004,Veikkausliiga,11,3,1.0,0.0,1,0,—,—,13,3
Hansa Rostock,2004–05,Bundesliga,13,1,1.0,0.0,0,0,0,0,14,1
Malmö FF,2005,Allsvenskan,2,1,,0.0,2,0,—,—,4,1
Malmö FF,2006,Allsvenskan,8,2,,0.0,—,—,—,—,8,2
Malmö FF,2007,Allsvenskan,0,0,,,—,—,—,—,0,0
Malmö FF,Total,Total,10,3,,,2,0,0,0,12,3
Fulham,2007–08,Premier League,0,0,0.0,0.0,—,—,0,0,0,0
Lahti,2008,Veikkausliiga,6,3,0.0,0.0,—,—,0,0,6,3
Lahti,2009,Veikkausliiga,13,2,2.0,0.0,6,1,3,1,24,4
Lahti,2010,Veikkausliiga,21,5,0.0,0.0,—,—,2,0,23,5
Lahti,Total,Total,40,10,2.0,0.0,6,1,5,1,53,12
HJK Helsinki,2011,Veikkausliiga,18,1,1.0,1.0,2,0,1,0,22,2
Career total,Career total,Career total,449,173,48.0,20.0,15,4,87,30,599,227
