# List of international goals scored by Dan Petrescu
No.,Date,Venue,Opponent,Score,Result,Competition
1,5 December 1990,"Stadionul Naţional, Bucharest, Romania",San Marino,6–0,6–0,UEFA Euro 1992 Qualifying
2,4 August 1992,"Stadionul Steaua, Bucharest, Romania",Latvia,2–0,2–0,Friendly
3,25 May 1994,"Stadionul Steaua, Bucharest, Romania",Nigeria,2–0,2–0,Friendly
4,26 June 1994,"Rose Bowl, Pasadena, United States",United States,1–0,1–0,World Cup 1994 Group A
5,7 September 1994,"Stadionul Steaua, Bucharest, Romania",Azerbaijan,2–0,3–0,Euro 1996 Qualifying
6,1 June 1996,"Stadionul Steaua, Bucharest, Romania",Moldova,1–0,3–1,Friendly
7,31 August 1996,"Stadionul Steaua, Bucharest, Romania",Lithuania,2–0,3–0,World Cup 1998 Qualifying
8,9 October 1996,"Laugardalsvöllur, Reykjavík, Iceland",Iceland,4–0,4–0,World Cup 1998 Qualifying
9,29 March 1997,"Stadionul Steaua, Bucharest, Romania",Liechtenstein,5–0,8–0,World Cup 1998 Qualifying
10,10 September 1997,"Stadionul Steaua, Bucharest, Romania",Iceland,2–0,4–0,World Cup 1998 Qualifying
11,6 June 1998,"Stadionul Ilie Oană, Ploiești, Romania",Moldova,2–0,5–1,Friendly
12,22 June 1998,"Stadium Municipal, Toulouse, France",England,2–1,2–1,World Cup 1998 Group G
