# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,League cup Apps,League cup Goals,Europe Apps,Europe Goals,Other Apps,Other Goals,Total Apps,Total Goals
Högaborg,1989,Division 3 Södra Götaland,21,1,–,–,–,–,–,–,–,–,21,1
Högaborg,1990,Division 3 Södra Götaland,21,7,–,–,–,–,–,–,–,–,21,7
Högaborg,1991,Division 3 Södra Götaland,22,15,–,–,–,–,–,–,–,–,22,15
Högaborg,Total,Total,64,23,–,–,–,–,–,–,–,–,64,23
Helsingborg,1992,Division 1 Södra,31,34,–,–,–,–,–,–,–,–,31,34
Helsingborg,1993,Allsvenskan,25,16,5,1,–,–,–,–,–,–,30,17
Helsingborg,Total,Total,56,50,5,1,–,–,–,–,–,–,61,51
Feyenoord,1993–94,Eredivisie,15,1,12,5,–,–,–,–,–,–,27,6
Feyenoord,1994–95,Eredivisie,23,8,9,1,–,–,6,7,1,0,39,16
Feyenoord,1995–96,Eredivisie,32,10,4,1,–,–,7,1,1,1,44,13
Feyenoord,1996–97,Eredivisie,31,7,4,0,–,–,6,1,–,–,41,8
Feyenoord,Total,Total,101,26,29,7,–,–,19,9,2,1,151,43
Celtic,1997–98,Scottish Premier Division,35,16,4,0,5,3,2,0,–,–,46,19
Celtic,1998–99,Scottish Premier League,35,29,5,5,0,0,8,4,–,–,48,38
Celtic,1999–2000,Scottish Premier League,9,7,0,0,0,0,4,5,–,–,13,12
Celtic,2000–01,Scottish Premier League,37,35,6,9,2,5,5,4,–,–,50,53
Celtic,2001–02,Scottish Premier League,33,29,3,2,1,0,10,4,–,–,47,35
Celtic,2002–03,Scottish Premier League,35,28,2,2,2,2,12,12,–,–,51,44
Celtic,2003–04,Scottish Premier League,37,30,5,5,1,0,15,6,–,–,58,41
Celtic,Total,Total,221,174,25,23,11,10,56,35,–,–,313,242
Barcelona,2004–05,La Liga,12,3,1,0,–,–,4,1,2,1,19,5
Barcelona,2005–06,La Liga,28,10,4,4,–,–,10,1,2,2,44,17
Barcelona,Total,Total,40,13,5,4,–,–,14,2,4,3,63,22
Helsingborg,2006,Allsvenskan,15,8,5,4,–,–,–,–,3,2,23,14
Helsingborg,2007,Allsvenskan,22,9,1,0,–,–,9,9,1,0,33,18
Helsingborg,2008,Allsvenskan,27,14,1,0,–,–,2,0,–,–,30,14
Helsingborg,2009,Allsvenskan,20,7,1,0,–,–,4,3,–,–,25,10
Helsingborg,Total,Total,84,38,8,4,–,–,15,12,4,2,111,56
Manchester United (loan),2006–07,Premier League,7,1,4,1,0,0,2,1,–,–,13,3
Råå,2012,Division 3 Östra Götaland,1,0,–,–,–,–,–,–,–,–,1,0
Högaborg,2013,Division 2 Västra Götaland,1,0,–,–,–,–,–,–,–,–,1,0
Career total,Career total,Career total,575,325,76,40,11,10,106,59,10,6,778,440
