# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National Cup Apps,National Cup Goals,Europe Apps,Europe Goals,Other Apps,Other Goals,Total Apps,Total Goals
Bayern Munich II,2009–10,3. Liga,23,1,—,—,—,—,—,—,23,1
Bayern Munich II,2010–11,3. Liga,10,0,—,—,—,—,—,—,10,0
Bayern Munich II,Total,Total,33,1,—,—,—,—,—,—,33,1
Bayern Munich,2009–10,Bundesliga,3,0,1,0,2,0,—,—,6,0
Bayern Munich,2010–11,Bundesliga,2,0,1,0,0,0,0,0,3,0
Bayern Munich,2011–12,Bundesliga,30,2,6,1,11,0,—,—,47,3
Bayern Munich,2012–13,Bundesliga,23,3,4,0,11,2,0,0,38,5
Bayern Munich,2013–14,Bundesliga,28,2,5,0,12,2,4,0,49,4
Bayern Munich,2014–15,Bundesliga,19,2,3,3,6,0,1,0,29,5
Bayern Munich,2015–16,Bundesliga,30,1,5,0,10,1,1,0,46,2
Bayern Munich,2016–17,Bundesliga,32,4,5,1,9,0,1,0,47,5
Bayern Munich,2017–18,Bundesliga,23,2,6,0,7,0,0,0,36,2
Bayern Munich,2018–19,Bundesliga,31,3,4,0,7,0,1,0,43,3
Bayern Munich,2019–20,Bundesliga,28,1,5,1,8,0,1,0,42,2
Bayern Munich,2020–21,Bundesliga,33,2,1,0,8,0,3,0,45,2
Bayern Munich,Total,Total,281,22,46,6,92,5,12,0,431,33
1899 Hoffenheim (loan),2010–11,Bundesliga,17,2,1,0,—,—,—,—,18,2
Real Madrid,2021–22,La Liga,30,2,3,0,12,1,1,0,46,3
Real Madrid,2022–23,La Liga,23,1,2,0,11,0,3,1,39,2
Real Madrid,2023–24,La Liga,14,0,0,0,3,0,0,0,17,0
Real Madrid,2024–25,La Liga,7,0,2,0,5,0,0,0,14,0
Real Madrid,2025–26,La Liga,2,0,0,0,0,0,0,0,2,0
Real Madrid,Total,Total,76,3,7,0,31,2,4,0,118,5
Career total,Career total,Career total,407,28,55,7,123,6,16,1,600,41
