# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National Cup Apps,National Cup Goals,League Cup Apps,League Cup Goals,Continental Apps,Continental Goals,Total Apps,Total Goals
Torino,1989–90,Serie B,3,0,0,0,—,—,—,—,3,0
Torino,1990–91,Serie A,25,2,6,0,—,—,—,—,31,2
Torino,Total,Total,28,2,6,0,0,0,0,0,34,2
Inter Milan,1991–92,Serie A,27,1,5,1,—,—,—,—,32,2
Juventus,1992–93,Serie A,32,1,7,3,—,—,9,5,48,9
Juventus,1993–94,Serie A,17,0,2,0,—,—,6,0,25,0
Juventus,Total,Total,49,1,9,3,0,0,15,5,73,9
Parma,1994–95,Serie A,31,6,7,1,—,—,11,5,49,12
Parma,1995–96,Serie A,28,4,2,0,—,—,4,1,34,5
Parma,1996–97,Serie A,31,2,1,0,—,—,2,0,34,2
Parma,1997–98,Serie A,29,5,6,0,—,—,8,0,43,5
Parma,1998–99,Serie A,29,2,5,0,—,—,8,0,42,2
Parma,1999–2000,Serie A,24,0,1,0,1,0,9,1,35,1
Parma,2000–01,Serie A,0,0,2,0,—,—,1,0,3,0
Parma,Total,Total,172,19,24,1,1,0,43,7,240,27
Lazio,2000–01,Serie A,25,1,1,0,—,—,—,—,26,1
Lazio,2001–02,Serie A,15,0,3,0,—,—,3,0,21,0
Lazio,2002–03,Serie A,4,0,3,0,—,—,8,0,15,0
Lazio,Total,Total,44,1,7,0,0,0,11,0,62,1
Blackburn Rovers,2003–04,Premier League,9,1,0,0,0,0,2,0,11,1
Ancona (loan),2003–04,Serie A,13,0,0,0,—,—,—,—,13,0
Triestina,2005–06,Serie B,3,0,0,0,—,—,—,—,3,0
Career total,Career total,Career total,345,25,51,5,1,0,71,12,468,42
