# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,League cup Apps,League cup Goals,Continental Apps,Continental Goals,Other Apps,Other Goals,Total Apps,Total Goals
Metz B,2011–12,CFA,12,2,0,0,0,0,—,—,—,—,12,2
Metz,2011–12,Ligue 2,19,1,0,0,0,0,—,—,—,—,19,1
Metz,2012–13,Championnat National,3,1,0,0,1,0,—,—,—,—,4,1
Metz,Total,Total,22,2,0,0,1,0,—,—,—,—,23,2
Red Bull Salzburg,2012–13,Austrian Bundesliga,26,16,3,3,—,—,—,—,—,—,29,19
Red Bull Salzburg,2013–14,Austrian Bundesliga,33,13,4,5,—,—,13,5,—,—,50,23
Red Bull Salzburg,2014–15,Austrian Bundesliga,4,2,1,1,—,—,3,0,—,—,8,3
Red Bull Salzburg,Total,Total,63,31,8,9,—,—,16,5,—,—,87,45
Southampton,2014–15,Premier League,30,10,0,0,2,0,—,—,—,—,32,10
Southampton,2015–16,Premier League,37,11,1,0,2,3,3,1,—,—,43,15
Southampton,Total,Total,67,21,1,0,4,3,3,1,—,—,75,25
Liverpool,2016–17,Premier League,27,13,0,0,2,0,—,—,—,—,29,13
Liverpool,2017–18,Premier League,29,10,2,0,0,0,13,10,—,—,44,20
Liverpool,2018–19,Premier League,36,22,0,0,1,0,13,4,—,—,50,26
Liverpool,2019–20,Premier League,35,18,1,0,0,0,8,2,3,2,47,22
Liverpool,2020–21,Premier League,35,11,2,2,0,0,10,3,1,0,48,16
Liverpool,2021–22,Premier League,34,16,3,2,1,0,13,5,—,—,51,23
Liverpool,Total,Total,196,90,8,4,4,0,57,24,4,2,269,120
Bayern Munich,2022–23,Bundesliga,25,7,3,1,—,—,9,3,1,1,38,12
Al Nassr,2023–24,Saudi Pro League,32,13,5,4,—,—,8,1,5,1,50,19
Al Nassr,2024–25,Saudi Pro League,32,14,2,1,—,—,11,3,2,0,47,18
Al Nassr,2025–26,Saudi Pro League,4,2,1,0,—,—,1,1,1,1,7,4
Al Nassr,Total,Total,68,29,8,5,—,—,20,5,8,2,104,41
Career total,Career total,Career total,453,182,28,19,9,3,105,38,13,5,608,247
