# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,League cup Apps,League cup Goals,Continental Apps,Continental Goals,Other Apps,Other Goals,Total Apps,Total Goals
Bastia,2000–01,Ligue 1,13,1,2,0,0,0,—,—,—,—,15,1
Bastia,2001–02,Ligue 1,24,4,4,0,2,1,0,0,—,—,30,5
Bastia,2002–03,Ligue 1,29,6,1,0,1,0,—,—,—,—,31,6
Bastia,Total,Total,66,11,7,0,3,1,—,—,—,—,76,12
Lyon,2003–04,Ligue 1,34,3,2,0,1,0,8,0,1,1,46,4
Lyon,2004–05,Ligue 1,37,4,2,0,0,0,10,5,1,0,50,9
Lyon,Total,Total,71,7,4,0,1,0,18,5,2,1,96,13
Chelsea,2005–06,Premier League,31,2,4,0,1,0,6,0,—,—,42,2
Chelsea,2006–07,Premier League,33,2,5,1,6,1,10,2,1,0,55,6
Chelsea,2007–08,Premier League,27,6,2,0,4,0,12,0,1,0,46,6
Chelsea,2008–09,Premier League,11,1,3,0,0,0,5,2,—,—,19,3
Chelsea,2009–10,Premier League,14,3,0,0,1,0,6,1,1,0,22,4
Chelsea,2010–11,Premier League,33,3,2,0,0,0,8,1,1,0,44,4
Chelsea,2011–12,Premier League,14,0,3,0,0,0,2,0,—,—,19,0
Chelsea,2013–14,Premier League,5,0,1,0,3,0,—,—,—,—,9,0
Chelsea,Total,Total,168,17,20,1,15,1,49,6,4,0,256,25
Real Madrid (loan),2012–13,La Liga,21,2,7,0,—,—,7,0,—,—,35,2
Milan,2013–14,Serie A,7,0,0,0,—,—,2,0,—,—,9,0
Milan,2014–15,Serie A,13,0,0,0,—,—,—,—,—,—,13,0
Milan,Total,Total,20,0,0,0,—,—,2,0,—,—,22,0
Panathinaikos,2015–16,Super League Greece,13,1,3,0,—,—,0,0,—,—,16,1
Persib Bandung,2017,Liga 1,29,5,—,—,—,—,—,—,—,—,29,5
Sabail,2018–19,Azerbaijan Premier League,4,0,0,0,—,—,—,—,—,—,4,0
Sabail,2019–20,Azerbaijan Premier League,10,0,0,0,—,—,1,0,—,—,11,0
Sabail,Total,Total,14,0,0,0,—,—,1,0,—,—,15,0
Career total,Career total,Career total,402,43,41,1,19,2,77,11,6,1,545,58
