# List of international goals scored by Marius Lăcătuș
No.,Date,Venue,Opponent,Score,Result,Competition
1,21 November 1984,"Bloomfield Stadium, Tel Aviv, Israel",Israel,1–1,1–1,Friendly
2,30 January 1985,"Estádio José Alvalade, Lisbon, Portugal",Portugal,1–2,3–2,Friendly
3,30 January 1985,"Estádio José Alvalade, Lisbon, Portugal",Portugal,2–2,3–2,Friendly
4,10 September 1986,"Stadionul Steaua, Bucharest, Romania",Austria,2–0,4–0,UEFA Euro 1988 qualifying
5,26 May 1990,"Heysel Stadium, Brussels, Belgium",Belgium,2–2,2–2,Friendly
6,9 June 1990,"Stadio San Nicola, Bari, Italy",Soviet Union,1–0,2–0,World Cup 1990 Group B
7,9 June 1990,"Stadio San Nicola, Bari, Italy",Soviet Union,2–0,2–0,World Cup 1990 Group B
8,29 August 1990,"Central Lenin Stadium, Moscow, Russian SFSR, Soviet Union",Soviet Union,1–0,2–1,Friendly
9,6 May 1992,"Stadionul Steaua, Bucharest, Romania",Faroe Islands,3–0,7–0,FIFA World Cup 1994 qualifying
10,14 December 1994,"Ramat Gan Stadium, Ramat Gan, Israel",Israel,1–0,1–1,UEFA Euro 1996 qualifying
11,7 June 1995,"Stadionul Steaua, Bucharest, Romania",Israel,1–0,2–1,UEFA Euro 1996 qualifying
12,11 October 1995,"Stadionul Steaua, Bucharest, Romania",France,1–2,1–3,UEFA Euro 1996 qualifying
13,24 April 1996,"Stadionul Steaua, Bucharest, Romania",Georgia,4–0,5–0,Friendly
