# Table 1
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,Continental Apps,Continental Goals,Other Apps,Other Goals,Total Apps,Total Goals
Danubio,1994,Primera División,14,6,—,—,—,—,—,—,14,6
Danubio,1995,Primera División,20,5,—,—,—,—,—,—,20,5
Danubio,Total,Total,34,11,—,—,—,—,—,—,34,11
Nacional,1996,Primera División,20,8,—,—,2,0,7,6,29,14
Nacional,1997,Primera División,10,9,—,—,8,3,—,—,18,12
Nacional,Total,Total,30,17,—,—,8,3,7,6,47,26
Inter Milan,1997–98,Serie A,8,3,5,2,6,0,—,—,19,5
Inter Milan,1998–99,Serie A,1,0,1,0,2,0,—,—,4,0
Inter Milan,1999–2000,Serie A,27,10,6,0,—,—,1,0,34,10
Inter Milan,2000–01,Serie A,29,8,3,2,9,5,—,—,41,15
Inter Milan,2001–02,Serie A,18,6,0,0,4,0,—,—,22,6
Inter Milan,2002–03,Serie A,27,9,1,0,14,3,—,—,42,12
Inter Milan,2003–04,Serie A,19,8,3,0,7,3,—,—,29,11
Inter Milan,2004–05,Serie A,13,3,4,2,5,1,—,—,22,6
Inter Milan,2005–06,Serie A,20,5,2,0,7,1,1,0,30,6
Inter Milan,2006–07,Serie A,13,1,3,0,2,0,—,—,18,1
Inter Milan,Total,Total,175,53,28,6,56,13,2,0,261,72
Venezia (loan),1998–99,Serie A,19,11,0,0,—,—,—,—,19,11
Torino (loan),2007–08,Serie A,22,1,2,2,—,—,—,—,24,3
Panionios,2008–09,Super League Greece,14,4,2,1,—,—,—,—,16,5
Panionios,2009–10,Super League Greece,5,0,0,0,—,—,—,—,5,0
Panionios,Total,Total,19,4,2,1,—,—,—,—,21,5
Danubio,2009–10,Primera División,13,5,—,—,—,—,—,—,13,5
Danubio,2010–11,Primera División,18,5,—,—,—,—,—,—,18,5
Danubio,Total,Total,31,10,—,—,—,—,—,—,31,10
Nacional,2011–12,Primera División,23,7,—,—,1,0,1,1,25,8
Nacional,2012–13,Primera División,21,5,—,—,9,1,—,—,30,6
Nacional,2013–14,Primera División,19,2,—,—,3,0,1,0,23,2
Nacional,2014–15,Primera División,17,2,—,—,1,0,1,0,19,2
Nacional,Total,Total,80,16,—,—,14,1,3,1,97,18
Career total,Career total,Career total,413,123,32,9,78,17,5,1,528,150
