# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National Cup Apps,National Cup Goals,League Cup Apps,League Cup Goals,Continental Apps,Continental Goals,Other Apps,Other Goals,Total Apps,Total Goals
Brøndby,1986,1st Division,2,0,,,–,–,0,0,–,–,2,0
Brøndby,1987,1st Division,24,11,,,–,–,4,0,–,–,28,11
Brøndby,1988,1st Division,12,0,,,–,–,0,0,–,–,12,0
Brøndby,1989,1st Division,11,2,,,–,–,0,0,–,–,11,2
Brøndby,Total,Total,49,13,,,0,0,4,0,0,0,53,13
Bayer Uerdingen,1989–90,Bundesliga,34,6,1.0,0.0,–,–,–,–,–,–,35,6
Bayern Munich,1990–91,Bundesliga,33,9,1.0,0.0,–,–,7,0,1,0,42,9
Bayern Munich,1991–92,Bundesliga,20,2,1.0,0.0,–,–,0,0,–,–,21,2
Bayern Munich,Total,Total,53,11,2.0,0.0,0,0,7,0,1,0,63,11
Fiorentina,1992–93,Serie A,31,5,4.0,1.0,–,–,–,–,–,–,35,6
AC Milan (loan),1993–94,Serie A,9,1,2.0,0.0,–,–,6,1,1,0,18,2
Rangers,1994–95,Scottish Premier Division,33,10,2.0,2.0,1,1,2,0,–,–,38,13
Rangers,1995–96,Scottish Premier Division,22,2,5.0,3.0,1,0,5,1,–,–,33,6
Rangers,1996–97,Scottish Premier Division,33,16,2.0,0.0,2,2,6,2,–,–,43,20
Rangers,1997–98,Scottish Premier Division,28,5,4.0,0.0,0,0,4,0,–,–,36,5
Rangers,Total,Total,116,33,13.0,5.0,4,3,17,3,0,0,150,44
Chelsea,1998–99,Premier League,7,0,0.0,0.0,0,0,3,1,1,0,11,1
Copenhagen,1998–99,Danish Superliga,12,2,,,–,–,0,0,–,–,12,2
Ajax,1999–2000,Eredivisie,31,13,1.0,0.0,–,–,5,2,1,0,38,15
Career total,Career total,Career total,342,84,23.0,6.0,4,3,42,7,4,0,415,100
