# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,League cup Apps,League cup Goals,Europe Apps,Europe Goals,Total Apps,Total Goals
Newcastle United,1980–81,Second Division,13,1,4,2,0,0,—,—,17,3
Newcastle United,1981–82,Second Division,42,7,3,1,2,0,—,—,47,8
Newcastle United,1982–83,Second Division,37,7,2,0,1,0,—,—,40,7
Newcastle United,1983–84,Second Division,42,18,1,0,2,0,—,—,45,18
Newcastle United,1984–85,First Division,36,13,2,1,4,2,—,—,42,16
Newcastle United,Total,Total,170,46,12,4,9,2,0,0,191,52
Tottenham Hotspur,1985–86,First Division,39,11,5,2,6,1,—,—,50,14
Tottenham Hotspur,1986–87,First Division,39,6,6,2,9,3,—,—,54,11
Tottenham Hotspur,1987–88,First Division,22,2,2,1,1,0,—,—,25,3
Tottenham Hotspur,1988–89,First Division,38,14,1,0,5,0,—,—,44,14
Tottenham Hotspur,Total,Total,138,33,14,5,21,4,0,0,173,42
Marseille,1989–90,Division 1,37,9,5,3,—,—,8,1,50,12
Marseille,1990–91,Division 1,35,6,5,0,—,—,9,2,49,8
Marseille,1991–92,Division 1,35,7,3,0,—,—,3,1,41,8
Marseille,Total,Total,107,22,13,3,—,—,20,4,149,29
Sheffield Wednesday,1992–93,Premier League,33,1,8,2,9,0,4,1,54,4
Sheffield Wednesday,1993–94,Premier League,19,3,1,0,6,0,—,—,26,3
Sheffield Wednesday,1994–95,Premier League,25,4,3,1,0,0,—,—,28,5
Sheffield Wednesday,1995–96,Premier League,32,2,1,0,4,0,2,1,39,3
Sheffield Wednesday,Total,Total,109,10,13,3,19,0,6,2,147,15
Falkirk,1996–97,Division One,4,1,0,0,0,0,—,—,4,1
Bradford City,1996–97,First Division,26,5,3,1,0,0,—,—,29,6
Sunderland,1996–97,Premier League,7,1,0,0,0,0,—,—,7,1
Burnley,1997–98,Second Division,32,1,2,0,2,1,—,—,36,2
Torquay United,1998–99,Third Division,7,0,0,0,0,0,—,—,7,0
Career total,Career total,Career total,600,119,57,16,51,7,26,6,734,148
