# List of international goals scored by Yaya Touré
No.,Date,Venue,Cap,Opponent,Score,Result,Competition,Ref.
1,24 January 2006,"Cairo International Stadium, Cairo, Egypt",7,Libya,2–1,2–1,2006 Africa Cup of Nations,
2,3 June 2007,"Stade Bouaké, Bouaké, Ivory Coast",21,Madagascar,3–0,5–0,2008 Africa Cup of Nations qualification,
3,25 January 2008,"Sekondi-Takoradi Stadium, Sekondi-Takoradi, Ghana",28,Benin,2–0,4–1,2008 Africa Cup of Nations,
4,20 June 2009,"Stade du 4 Août, Ouagadougou, Burkina Faso",39,Burkina Faso,1–0,3–2,2010 FIFA World Cup qualification,
5,5 September 2009,"Stade Félix Houphouët-Boigny, Abidjan, Ivory Coast",41,Burkina Faso,3–0,5–0,2010 FIFA World Cup qualification,
6,25 June 2010,"Mbombela Stadium, Mbombela, South Africa",54,North Korea,1–0,3–0,2010 FIFA World Cup,
7,4 September 2010,"Stade Félix Houphouët-Boigny, Abidjan, Ivory Coast",56,Rwanda,1–0,3–0,2012 Africa Cup of Nations qualification,
8,10 August 2011,"Stade de Genève, Geneva, Switzerland",59,Israel,2–0,4–3,Friendly,
9,9 October 2011,"Stade Félix Houphouët-Boigny, Abidjan, Ivory Coast",61,Burundi,2–1,2–1,2012 Africa Cup of Nations qualification,
10,4 February 2012,"Estadio de Malabo, Malabo, Equatorial Guinea",66,Equatorial Guinea,3–0,3–0,2012 Africa Cup of Nations,
11,22 January 2013,"Royal Bafokeng Stadium, Phokeng, South Africa",74,Togo,1–0,2–1,2013 Africa Cup of Nations,
12,26 January 2013,"Royal Bafokeng Stadium, Phokeng, South Africa",75,Tunisia,2–0,3–0,2013 Africa Cup of Nations,
13,23 March 2013,"Stade Félix Houphouët-Boigny, Abidjan, Ivory Coast",77,Gambia,2–0,3–0,2014 FIFA World Cup qualification,
14,8 June 2013,"Independence Stadium, Bakau, Gambia",78,Gambia,3–0,3–0,2014 FIFA World Cup qualification,
15,16 June 2013,"National Stadium, Dar es Salaam, Tanzania",79,Tanzania,2–1,4–2,2014 FIFA World Cup qualification,
16,16 June 2013,"National Stadium, Dar es Salaam, Tanzania",79,Tanzania,3–2,4–2,2014 FIFA World Cup qualification,
17,10 September 2014,"Stade Ahmadou Ahidjo, Yaoundé, Cameroon",88,Cameroon,1–1,1–4,2015 Africa Cup of Nations qualification,
18,15 October 2014,"Stade Félix Houphouët-Boigny, Abidjan, Ivory Coast",90,DR Congo,1–1,3–4,2015 Africa Cup of Nations qualification,
19,4 February 2015,"Estadio de Bata, Bata, Equatorial Guinea",98,DR Congo,1–0,3–1,2015 Africa Cup of Nations,
