# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,Greek Cup Apps,Greek Cup Goals,Continental Apps,Continental Goals,Other Apps,Other Goals,Total Apps,Total Goals
Panathinaikos,1959–60,Alpha Ethniki,29,7,,,0,0,0,0,29,7
Panathinaikos,1960–61,Alpha Ethniki,30,8,,,2,0,0,0,40,8
Panathinaikos,1961–62,Alpha Ethniki,27,16,,,2,0,0,—,29,16
Panathinaikos,1962–63,Alpha Ethniki,28,7,,,2,0,0,0,30,7
Panathinaikos,1963–64,Alpha Ethniki,27,5,,,0,0,0,0,27,5
Panathinaikos,1964–65,Alpha Ethniki,19,5,,,4,0,0,0,23,5
Panathinaikos,1965–66,Alpha Ethniki,30,11,,,4,2,0,0,34,13
Panathinaikos,1966–67,Alpha Ethniki,19,6,,,0,0,0,0,19,6
Panathinaikos,1967–68,Alpha Ethniki,34,9,,,2,0,0,0,36,9
Panathinaikos,1968–69,Alpha Ethniki,32,5,,,4,0,4,0,40,5
Panathinaikos,1969–70,Alpha Ethniki,30,6,,,2,0,0,0,32,6
Panathinaikos,1970–71,Alpha Ethniki,32,20,,,9,1,2,0,43,20
Panathinaikos,1971–72,Alpha Ethniki,30,5,,,2,0,0,0,32,5
Panathinaikos,1972–73,Alpha Ethniki,21,6,,,2,0,0,0,23,6
Panathinaikos,1973–74,Alpha Ethniki,27,7,,,1,0,0,0,28,7
Panathinaikos,1974–75,Alpha Ethniki,29,6,,,2,0,0,0,31,6
Panathinaikos,1975–76,Alpha Ethniki,15,3,,,1,0,0,0,16,3
Panathinaikos,1976–77,Alpha Ethniki,26,2,,,0,0,0,0,26,2
Panathinaikos,1977–78,Alpha Ethniki,5,0,,,2,0,0,0,7,0
Panathinaikos,Total,Total,490,134,,,41,3,6,0,537+,137+
AEK Athens,1978–79,Alpha Ethniki,29,5,4.0,0.0,2,0,0,0,35,5
AEK Athens,1979–80,Alpha Ethniki,5,0,1.0,0.0,1,0,0,0,7,0
AEK Athens,Total,Total,34,5,5.0,0.0,3,0,0,0,42,5
Panathinaikos,1979–80,Alpha Ethniki,12,0,,,0,0,0,—,12,0
Career total,Career total,Career total,536,139,,,43,3,6,0,585+,142+
