# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,League Cup Apps,League Cup Goals,Other Apps,Other Goals,Total Apps,Total Goals
London XI,1955–58,—,—,—,—,—,—,—,2,2,2.0,2.0
Chelsea,1957–58,First Division,35,22,2,0,—,—,—,—,37.0,22.0
Chelsea,1958–59,First Division,42,32,2,2,—,—,3,3,47.0,37.0
Chelsea,1959–60,First Division,40,29,2,1,—,—,—,—,42.0,30.0
Chelsea,1960–61,First Division,40,41,1,0,2,2,—,—,43.0,43.0
Chelsea,Total,Total,157,124,7,3,2,2,3,3,169.0,132.0
AC Milan,1961–62,Serie A,10,9,1,0,—,—,2,0,13.0,9.0
Tottenham Hotspur,1961–62,First Division,22,21,7,9,0,0,2,0,31.0,30.0
Tottenham Hotspur,1962–63,First Division,41,37,1,0,0,0,7,7,49.0,44.0
Tottenham Hotspur,1963–64,First Division,41,35,2,0,0,0,2,1,45.0,36.0
Tottenham Hotspur,1964–65,First Division,41,29,4,6,0,0,0,0,45.0,35.0
Tottenham Hotspur,1965–66,First Division,29,15,2,1,0,0,0,0,31.0,16.0
Tottenham Hotspur,1966–67,First Division,38,25,8,6,1,0,0,0,47.0,31.0
Tottenham Hotspur,1967–68,First Division,39,23,4,3,0,0,5,3,48.0,29.0
Tottenham Hotspur,1968–69,First Division,42,27,4,4,6,5,0,0,52.0,36.0
Tottenham Hotspur,1969–70,First Division,28,8,4,3,1,0,0,0,33.0,11.0
Tottenham Hotspur,Total,Total,321,220,36,32,8,5,16,11,381.0,268.0
West Ham United,1969–70,First Division,6,4,0,0,0,0,0,0,6.0,4.0
West Ham United,1970–71,First Division,32,9,1,0,1,0,0,0,34.0,9.0
West Ham United,Total,Total,38,13,1,0,1,0,0,0,40.0,13.0
Brentwood Town,1975–76,Essex Senior League,,,,,,,,,,
Chelmsford City,1976–77,Southern League Premier Division,25,13,0,0,0,0,13,7,38.0,20.0
Barnet,1977–78,Southern League Premier Division,30,13,5,4,0,0,1,1,36.0,18.0
Barnet,1978–79,Southern League Premier Division,21,3,6,3,0,0,1,1,28.0,7.0
Barnet,Total,Total,51,16,11,7,0,0,2,2,64.0,25.0
Woodford Town,1979–80,Athenian League,,,,,,,,,,
Career total,Career total,Career total,602,395,56,42,11,7,38,25,707.0,469.0
